code,iso,country,region,B.1,B.2,B.3,Human development groups,HDI,B,B/HDI
562,NER,Niger,Sub-Saharan Africa,45.77,55.94,49.47,LOW HUMAN DEVELOPMENT,0.394,50.39,127.893401
140,CAF,Central African Republic,Sub-Saharan Africa,32.39,46.31,47.76,LOW HUMAN DEVELOPMENT,0.397,42.15,106.1712846
108,BDI,Burundi,Sub-Saharan Africa,48.95,44.02,44.84,LOW HUMAN DEVELOPMENT,0.433,45.93,106.073903
148,TCD,Chad,Sub-Saharan Africa,39.61,44.4,40.9,LOW HUMAN DEVELOPMENT,0.398,41.63,104.5979899
508,MOZ,Mozambique,Sub-Saharan Africa,37.74,53.12,49.32,LOW HUMAN DEVELOPMENT,0.456,46.72,102.4561404
694,SLE,Sierra Leone,Sub-Saharan Africa,39.63,57.72,40.53,LOW HUMAN DEVELOPMENT,0.452,45.96,101.6814159
466,MLI,Mali,Sub-Saharan Africa,43.65,38.37,48.94,LOW HUMAN DEVELOPMENT,0.434,43.65,100.5760369
454,MWI,Malawi,Sub-Saharan Africa,46,48.48,50.21,LOW HUMAN DEVELOPMENT,0.483,48.22,99.83436853
854,BFA,Burkina Faso,Sub-Saharan Africa,47.54,46.14,41.6,LOW HUMAN DEVELOPMENT,0.452,45.09,99.75663717
686,SEN,Senegal,Sub-Saharan Africa,47.9,56.1,48.42,LOW HUMAN DEVELOPMENT,0.512,50.8,99.21875
4,AFG,Afghanistan,South Asia,45.49,51.52,48.97,LOW HUMAN DEVELOPMENT,0.511,48.66,95.22504892
231,ETH,Ethiopia,Sub-Saharan Africa,43.74,45.69,44.12,LOW HUMAN DEVELOPMENT,0.485,44.51,91.77319588
729,SDN,Sudan,Sub-Saharan Africa,47,45.89,47.52,LOW HUMAN DEVELOPMENT,0.51,46.8,91.76470588
834,TZA,Tanzania,Sub-Saharan Africa,44.24,51.37,47.8,LOW HUMAN DEVELOPMENT,0.529,47.8,90.35916824
324,GIN,Guinea,Sub-Saharan Africa,38.66,49.23,41.04,LOW HUMAN DEVELOPMENT,0.477,42.97,90.08385744
646,RWA,Rwanda,Sub-Saharan Africa,50.37,49.85,46.52,LOW HUMAN DEVELOPMENT,0.543,48.91,90.07366483
586,PAK,Pakistan,South Asia,45.09,56.98,47.45,MEDIUM HUMAN DEVELOPMENT,0.557,49.84,89.47935368
430,LBR,Liberia,Sub-Saharan Africa,39.4,43.69,45.41,LOW HUMAN DEVELOPMENT,0.48,42.83,89.22916667
768,TGO,Togo,Sub-Saharan Africa,43.2,49.74,44.88,LOW HUMAN DEVELOPMENT,0.515,45.94,89.2038835
800,UGA,Uganda,Sub-Saharan Africa,45.14,51.25,48.06,LOW HUMAN DEVELOPMENT,0.544,48.14,88.49264706
426,LSO,Lesotho,Sub-Saharan Africa,36,55.82,47.7,LOW HUMAN DEVELOPMENT,0.527,46.5,88.23529412
478,MRT,Mauritania,Sub-Saharan Africa,44.62,55.5,44.24,LOW HUMAN DEVELOPMENT,0.546,48.11,88.11355311
204,BEN,Benin,Sub-Saharan Africa,41.88,56.52,41.88,LOW HUMAN DEVELOPMENT,0.545,46.75,85.77981651
450,MDG,Madagascar,Sub-Saharan Africa,41.67,51.81,41.37,LOW HUMAN DEVELOPMENT,0.528,44.95,85.13257576
104,MMR,Myanmar,East Asia and Pacific,45.67,54.6,45.16,MEDIUM HUMAN DEVELOPMENT,0.583,48.47,83.13893654
598,PNG,Papua New Guinea,East Asia and Pacific,42.02,49.36,46.48,MEDIUM HUMAN DEVELOPMENT,0.555,45.95,82.79279279
64,BTN,Bhutan,South Asia,55.82,52.78,52.88,MEDIUM HUMAN DEVELOPMENT,0.654,53.82,82.29357798
524,NPL,Nepal,South Asia,49.57,42.65,55.89,MEDIUM HUMAN DEVELOPMENT,0.602,49.36,81.99335548
116,KHM,Cambodia,East Asia and Pacific,52.58,50.45,42.83,MEDIUM HUMAN DEVELOPMENT,0.594,48.61,81.83501684
404,KEN,Kenya,Sub-Saharan Africa,48.82,52,46.49,MEDIUM HUMAN DEVELOPMENT,0.601,49.1,81.69717138
762,TJK,Tajikistan,Europe and Central Asia,56.9,56.51,49.36,MEDIUM HUMAN DEVELOPMENT,0.668,54.25,81.21257485
120,CMR,Cameroon,Sub-Saharan Africa,39.45,48.45,48.29,MEDIUM HUMAN DEVELOPMENT,0.563,45.39,80.62166963
340,HND,Honduras,Latin America and The Caribbean,52.63,51.67,48.41,MEDIUM HUMAN DEVELOPMENT,0.634,50.9,80.28391167
716,ZWE,Zimbabwe,Sub-Saharan Africa,40.93,52.91,43.14,MEDIUM HUMAN DEVELOPMENT,0.571,45.66,79.96497373
566,NGA,Nigeria,Sub-Saharan Africa,39.42,43.11,46.78,LOW HUMAN DEVELOPMENT,0.539,43.1,79.96289425
558,NIC,Nicaragua,Latin America and The Caribbean,53.49,55.9,48.53,MEDIUM HUMAN DEVELOPMENT,0.66,52.64,79.75757576
50,BGD,Bangladesh,South Asia,50.19,56.26,43.5,MEDIUM HUMAN DEVELOPMENT,0.632,49.98,79.08227848
384,CIV,Cote d'Ivoire,Sub-Saharan Africa,40.94,44.53,40.61,LOW HUMAN DEVELOPMENT,0.538,42.02,78.10408922
626,TLS,Timor-Leste,East Asia and Pacific,51.39,40.08,50.48,MEDIUM HUMAN DEVELOPMENT,0.606,47.31,78.06930693
795,TKM,Turkmenistan,Europe and Central Asia,57.53,56.05,53.03,HIGH HUMAN DEVELOPMENT,0.715,55.53,77.66433566
894,ZMB,Zambia,Sub-Saharan Africa,45.06,46.79,44.23,MEDIUM HUMAN DEVELOPMENT,0.584,45.35,77.65410959
400,JOR,Jordan,Middle East and North Africa,58.73,54.56,56.22,HIGH HUMAN DEVELOPMENT,0.729,56.5,77.50342936
504,MAR,Morocco,Middle East and North Africa,53.42,52.41,52.75,MEDIUM HUMAN DEVELOPMENT,0.686,52.86,77.05539359
180,COD,Dem. Rep. Congo,Sub-Saharan Africa,39.34,48.72,44.39,MEDIUM HUMAN DEVELOPMENT,0.574,44.15,76.91637631
860,UZB,Uzbekistan,Europe and Central Asia,59.07,63.44,43.6,HIGH HUMAN DEVELOPMENT,0.72,55.37,76.90277778
417,KGZ,Kyrgyzstan,Europe and Central Asia,54.93,57.27,48.46,MEDIUM HUMAN DEVELOPMENT,0.697,53.55,76.82926829
288,GHA,Ghana,Sub-Saharan Africa,44.41,49.47,45.31,MEDIUM HUMAN DEVELOPMENT,0.611,46.39,75.92471358
422,LBN,Lebanon,Middle East and North Africa,57.28,57.53,54.44,HIGH HUMAN DEVELOPMENT,0.744,56.41,75.81989247
818,EGY,Egypt,Middle East and North Africa,55.7,49.76,55.21,HIGH HUMAN DEVELOPMENT,0.707,53.55,75.74257426
368,IRQ,Iraq,Middle East and North Africa,50.17,48.8,51.85,MEDIUM HUMAN DEVELOPMENT,0.674,50.27,74.58456973
132,CPV,Cabo Verde,Sub-Saharan Africa,52.64,43.34,52.21,MEDIUM HUMAN DEVELOPMENT,0.665,49.39,74.27067669
84,BLZ,Belize,Latin America and The Caribbean,55.45,55.23,48.41,HIGH HUMAN DEVELOPMENT,0.716,53.02,74.05027933
356,IND,India,South Asia,46.71,52.97,43.52,MEDIUM HUMAN DEVELOPMENT,0.645,47.73,74
788,TUN,Tunisia,Middle East and North Africa,54.84,55.84,53.03,HIGH HUMAN DEVELOPMENT,0.74,54.57,73.74324324
434,LBY,Libya,Middle East and North Africa,54.98,51.9,51.95,HIGH HUMAN DEVELOPMENT,0.724,52.94,73.12154696
608,PHL,Philippines,East Asia and Pacific,47.64,56.34,51.53,HIGH HUMAN DEVELOPMENT,0.718,51.83,72.18662953
242,FJI,Fiji,East Asia and Pacific,45.14,62.8,52.52,HIGH HUMAN DEVELOPMENT,0.743,53.48,71.97846568
170,COL,Colombia,Latin America and The Caribbean,47.75,60.88,56.99,HIGH HUMAN DEVELOPMENT,0.767,55.2,71.96870926
512,OMN,Oman,Middle East and North Africa,61.68,62.38,50.89,VERY HIGH HUMAN DEVELOPMENT,0.813,58.31,71.72201722
604,PER,Peru,Latin America and The Caribbean,54.22,59.54,53.11,HIGH HUMAN DEVELOPMENT,0.777,55.62,71.58301158
498,MDA,Moldova,Europe and Central Asia,54.77,55.2,51.08,HIGH HUMAN DEVELOPMENT,0.75,53.68,71.57333333
418,LAO,Laos,East Asia and Pacific,47.14,43.69,40.8,MEDIUM HUMAN DEVELOPMENT,0.613,43.87,71.56606852
68,BOL,Bolivia,Latin America and The Caribbean,48.65,54.13,50.32,HIGH HUMAN DEVELOPMENT,0.718,51.03,71.0724234
600,PRY,Paraguay,Latin America and The Caribbean,50.92,55.12,48.78,HIGH HUMAN DEVELOPMENT,0.728,51.6,70.87912088
360,IDN,Indonesia,East Asia and Pacific,49,56.54,46.98,HIGH HUMAN DEVELOPMENT,0.718,50.83,70.79387187
364,IRN,Iran,Middle East and North Africa,56.17,53.39,56.52,HIGH HUMAN DEVELOPMENT,0.783,55.36,70.70242656
218,ECU,Ecuador,Latin America and The Caribbean,49.69,60.47,49.55,HIGH HUMAN DEVELOPMENT,0.759,53.23,70.13175231
31,AZE,Azerbaijan,Europe and Central Asia,51.18,55.16,52.17,HIGH HUMAN DEVELOPMENT,0.756,52.83,69.88095238
496,MNG,Mongolia,East Asia and Pacific,51.26,55.59,46.88,HIGH HUMAN DEVELOPMENT,0.737,51.24,69.52510176
