Scores,Indicators
86.9,B.2.1 Animal Epidemic Disease
86.42,B.2.1 Animal Epidemic Disease
92.88,B.2.1 Animal Epidemic Disease
86.93,B.2.1 Animal Epidemic Disease
82.37,B.2.1 Animal Epidemic Disease
83.19,B.2.1 Animal Epidemic Disease
88.4,B.2.1 Animal Epidemic Disease
94.66,B.2.1 Animal Epidemic Disease
94.79,B.2.1 Animal Epidemic Disease
92.85,B.2.1 Animal Epidemic Disease
95.64,B.2.1 Animal Epidemic Disease
81.36,B.2.1 Animal Epidemic Disease
87.19,B.2.1 Animal Epidemic Disease
92.66,B.2.1 Animal Epidemic Disease
94.74,B.2.1 Animal Epidemic Disease
86.62,B.2.1 Animal Epidemic Disease
85.68,B.2.1 Animal Epidemic Disease
89.17,B.2.1 Animal Epidemic Disease
68.96,B.2.1 Animal Epidemic Disease
55.35,B.2.1 Animal Epidemic Disease
90.9,B.2.1 Animal Epidemic Disease
81.31,B.2.1 Animal Epidemic Disease
72.41,B.2.1 Animal Epidemic Disease
53.22,B.2.1 Animal Epidemic Disease
83.1,B.2.1 Animal Epidemic Disease
91.03,B.2.1 Animal Epidemic Disease
91.67,B.2.1 Animal Epidemic Disease
79.65,B.2.1 Animal Epidemic Disease
69.66,B.2.1 Animal Epidemic Disease
92.13,B.2.1 Animal Epidemic Disease
96.89,B.2.1 Animal Epidemic Disease
95.63,B.2.1 Animal Epidemic Disease
94.85,B.2.1 Animal Epidemic Disease
86.53,B.2.1 Animal Epidemic Disease
90.53,B.2.1 Animal Epidemic Disease
89.18,B.2.1 Animal Epidemic Disease
83.9,B.2.1 Animal Epidemic Disease
85.31,B.2.1 Animal Epidemic Disease
87.06,B.2.1 Animal Epidemic Disease
86.2,B.2.1 Animal Epidemic Disease
91.2,B.2.1 Animal Epidemic Disease
82.1,B.2.1 Animal Epidemic Disease
89.66,B.2.1 Animal Epidemic Disease
93.15,B.2.1 Animal Epidemic Disease
90.47,B.2.1 Animal Epidemic Disease
91.65,B.2.1 Animal Epidemic Disease
74.8,B.2.1 Animal Epidemic Disease
85.76,B.2.1 Animal Epidemic Disease
92.7,B.2.1 Animal Epidemic Disease
92.06,B.2.1 Animal Epidemic Disease
88.14,B.2.1 Animal Epidemic Disease
92.73,B.2.1 Animal Epidemic Disease
88.72,B.2.1 Animal Epidemic Disease
80.79,B.2.1 Animal Epidemic Disease
81.82,B.2.1 Animal Epidemic Disease
94.71,B.2.1 Animal Epidemic Disease
88.57,B.2.1 Animal Epidemic Disease
80.27,B.2.1 Animal Epidemic Disease
97.32,B.2.1 Animal Epidemic Disease
93.92,B.2.1 Animal Epidemic Disease
84.9,B.2.1 Animal Epidemic Disease
82.95,B.2.1 Animal Epidemic Disease
86.1,B.2.1 Animal Epidemic Disease
99.25,B.2.1 Animal Epidemic Disease
78.17,B.2.1 Animal Epidemic Disease
91.65,B.2.1 Animal Epidemic Disease
99.18,B.2.1 Animal Epidemic Disease
96.64,B.2.1 Animal Epidemic Disease
93.71,B.2.1 Animal Epidemic Disease
68.79,B.2.1 Animal Epidemic Disease
95.41,B.2.1 Animal Epidemic Disease
87.8,B.2.1 Animal Epidemic Disease
85.4,B.2.1 Animal Epidemic Disease
51.69,B.2.1 Animal Epidemic Disease
90.19,B.2.1 Animal Epidemic Disease
91.81,B.2.1 Animal Epidemic Disease
49.08,B.2.1 Animal Epidemic Disease
82.07,B.2.1 Animal Epidemic Disease
87.67,B.2.1 Animal Epidemic Disease
80.12,B.2.1 Animal Epidemic Disease
71.74,B.2.1 Animal Epidemic Disease
91.32,B.2.1 Animal Epidemic Disease
91.27,B.2.1 Animal Epidemic Disease
55.97,B.2.1 Animal Epidemic Disease
93.66,B.2.1 Animal Epidemic Disease
87.63,B.2.1 Animal Epidemic Disease
98.2,B.2.1 Animal Epidemic Disease
81.71,B.2.1 Animal Epidemic Disease
90.04,B.2.1 Animal Epidemic Disease
86.26,B.2.1 Animal Epidemic Disease
89.43,B.2.1 Animal Epidemic Disease
74.32,B.2.1 Animal Epidemic Disease
86.15,B.2.1 Animal Epidemic Disease
99.39,B.2.1 Animal Epidemic Disease
86.7,B.2.1 Animal Epidemic Disease
91.14,B.2.1 Animal Epidemic Disease
91.28,B.2.1 Animal Epidemic Disease
76.44,B.2.1 Animal Epidemic Disease
49.01,B.2.1 Animal Epidemic Disease
91.34,B.2.1 Animal Epidemic Disease
82.46,B.2.1 Animal Epidemic Disease
92.79,B.2.1 Animal Epidemic Disease
86.5,B.2.1 Animal Epidemic Disease
93.15,B.2.1 Animal Epidemic Disease
90.51,B.2.1 Animal Epidemic Disease
89.57,B.2.1 Animal Epidemic Disease
88.01,B.2.1 Animal Epidemic Disease
89.21,B.2.1 Animal Epidemic Disease
84.54,B.2.1 Animal Epidemic Disease
84.11,B.2.1 Animal Epidemic Disease
95.51,B.2.1 Animal Epidemic Disease
82.76,B.2.1 Animal Epidemic Disease
80.83,B.2.1 Animal Epidemic Disease
86.11,B.2.1 Animal Epidemic Disease
75.69,B.2.1 Animal Epidemic Disease
49.42,B.2.1 Animal Epidemic Disease
87.88,B.2.1 Animal Epidemic Disease
84.97,B.2.1 Animal Epidemic Disease
96.51,B.2.1 Animal Epidemic Disease
85.51,B.2.1 Animal Epidemic Disease
79.7,B.2.1 Animal Epidemic Disease
90.6,B.2.1 Animal Epidemic Disease
93.29,B.2.1 Animal Epidemic Disease
97.34,B.2.1 Animal Epidemic Disease
85.76,B.2.1 Animal Epidemic Disease
88.54,B.2.1 Animal Epidemic Disease
88.09,B.2.1 Animal Epidemic Disease
83.41,B.2.1 Animal Epidemic Disease
91.82,B.2.1 Animal Epidemic Disease
87.18,B.2.1 Animal Epidemic Disease
44.73,B.2.1 Animal Epidemic Disease
79.7,B.2.1 Animal Epidemic Disease
50.62,B.2.1 Animal Epidemic Disease
85.19,B.2.1 Animal Epidemic Disease
79.55,B.2.1 Animal Epidemic Disease
76.51,B.2.1 Animal Epidemic Disease
74.67,B.2.1 Animal Epidemic Disease
92.04,B.2.1 Animal Epidemic Disease
91.11,B.2.1 Animal Epidemic Disease
95.22,B.2.1 Animal Epidemic Disease
94.68,B.2.1 Animal Epidemic Disease
89.55,B.2.1 Animal Epidemic Disease
89.03,B.2.1 Animal Epidemic Disease
80.12,B.2.1 Animal Epidemic Disease
79.76,B.2.1 Animal Epidemic Disease
87.2,B.2.1 Animal Epidemic Disease
41.55,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
17.71,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
29.6,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
24.2,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
32.32,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
30.67,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
24.04,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
17.44,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
37.93,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
51.33,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
31.66,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
43.45,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
8.93,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
22.94,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
44.3,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
39.62,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
40.58,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
35.25,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.08,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.97,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
35.4,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
32.57,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
33.55,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.83,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
35.93,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
44.07,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
32.87,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
35.48,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
37.18,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
43.25,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
35.42,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
46.21,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
39.22,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
37.64,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
44.37,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
29.96,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.04,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
43.26,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
38.58,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
26.92,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
41.74,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
33.26,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.83,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
42.72,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
33.97,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
52.76,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
33.82,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
40.16,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
31.57,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
30.62,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
19.11,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.05,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
37.37,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.97,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
39.92,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
38.94,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
24.7,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
43.84,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.49,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
38.26,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
16.33,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
23.25,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.81,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
28.32,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
31.4,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
26.79,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.58,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
34.64,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
38.63,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
42.25,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
27.68,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
36.19,"B.2.2 Animal Welfare, Relevant Regulations and Policy Support"
