Scores,Indicators
46.57,B.3.1 Air Quality and Climate Change
43.4,B.3.1 Air Quality and Climate Change
44.24,B.3.1 Air Quality and Climate Change
58.18,B.3.1 Air Quality and Climate Change
43.59,B.3.1 Air Quality and Climate Change
67.88,B.3.1 Air Quality and Climate Change
57.96,B.3.1 Air Quality and Climate Change
38.91,B.3.1 Air Quality and Climate Change
18.43,B.3.1 Air Quality and Climate Change
43.67,B.3.1 Air Quality and Climate Change
65.03,B.3.1 Air Quality and Climate Change
46.28,B.3.1 Air Quality and Climate Change
60.67,B.3.1 Air Quality and Climate Change
45.43,B.3.1 Air Quality and Climate Change
34.18,B.3.1 Air Quality and Climate Change
30.03,B.3.1 Air Quality and Climate Change
55.41,B.3.1 Air Quality and Climate Change
37.76,B.3.1 Air Quality and Climate Change
61.05,B.3.1 Air Quality and Climate Change
48.47,B.3.1 Air Quality and Climate Change
40.84,B.3.1 Air Quality and Climate Change
34.33,B.3.1 Air Quality and Climate Change
50.66,B.3.1 Air Quality and Climate Change
62.18,B.3.1 Air Quality and Climate Change
49.5,B.3.1 Air Quality and Climate Change
36.53,B.3.1 Air Quality and Climate Change
62.13,B.3.1 Air Quality and Climate Change
30.74,B.3.1 Air Quality and Climate Change
21.79,B.3.1 Air Quality and Climate Change
61.31,B.3.1 Air Quality and Climate Change
38.06,B.3.1 Air Quality and Climate Change
65.82,B.3.1 Air Quality and Climate Change
51.3,B.3.1 Air Quality and Climate Change
43.6,B.3.1 Air Quality and Climate Change
47.84,B.3.1 Air Quality and Climate Change
54.61,B.3.1 Air Quality and Climate Change
46.66,B.3.1 Air Quality and Climate Change
51.24,B.3.1 Air Quality and Climate Change
49.26,B.3.1 Air Quality and Climate Change
62.62,B.3.1 Air Quality and Climate Change
50.06,B.3.1 Air Quality and Climate Change
53.36,B.3.1 Air Quality and Climate Change
40.17,B.3.1 Air Quality and Climate Change
47.87,B.3.1 Air Quality and Climate Change
46.59,B.3.1 Air Quality and Climate Change
59.38,B.3.1 Air Quality and Climate Change
57.7,B.3.1 Air Quality and Climate Change
65.68,B.3.1 Air Quality and Climate Change
39.68,B.3.1 Air Quality and Climate Change
42.13,B.3.1 Air Quality and Climate Change
63.65,B.3.1 Air Quality and Climate Change
50.79,B.3.1 Air Quality and Climate Change
59.53,B.3.1 Air Quality and Climate Change
41.25,B.3.1 Air Quality and Climate Change
54.01,B.3.1 Air Quality and Climate Change
44.46,B.3.1 Air Quality and Climate Change
57.65,B.3.1 Air Quality and Climate Change
34.47,B.3.1 Air Quality and Climate Change
61.78,B.3.1 Air Quality and Climate Change
53.51,B.3.1 Air Quality and Climate Change
38.89,B.3.1 Air Quality and Climate Change
57.15,B.3.1 Air Quality and Climate Change
46.28,B.3.1 Air Quality and Climate Change
59.4,B.3.1 Air Quality and Climate Change
67.88,B.3.1 Air Quality and Climate Change
51.02,B.3.1 Air Quality and Climate Change
33.45,B.3.1 Air Quality and Climate Change
58.98,B.3.1 Air Quality and Climate Change
49.75,B.3.1 Air Quality and Climate Change
52.59,B.3.1 Air Quality and Climate Change
50.62,B.3.1 Air Quality and Climate Change
62.04,B.3.1 Air Quality and Climate Change
49.92,B.3.1 Air Quality and Climate Change
52.54,B.3.1 Air Quality and Climate Change
44.55,B.3.1 Air Quality and Climate Change
45.65,B.3.1 Air Quality and Climate Change
56.37,B.3.1 Air Quality and Climate Change
61.44,B.3.1 Air Quality and Climate Change
66.42,B.3.1 Air Quality and Climate Change
53.22,B.3.1 Air Quality and Climate Change
42.52,B.3.1 Air Quality and Climate Change
57.13,B.3.1 Air Quality and Climate Change
44.17,B.3.1 Air Quality and Climate Change
62.78,B.3.1 Air Quality and Climate Change
50.4,B.3.1 Air Quality and Climate Change
49.94,B.3.1 Air Quality and Climate Change
39.92,B.3.1 Air Quality and Climate Change
40.95,B.3.1 Air Quality and Climate Change
50.48,B.3.1 Air Quality and Climate Change
65.41,B.3.1 Air Quality and Climate Change
53.61,B.3.1 Air Quality and Climate Change
38.51,B.3.1 Air Quality and Climate Change
37.34,B.3.1 Air Quality and Climate Change
56.68,B.3.1 Air Quality and Climate Change
61.76,B.3.1 Air Quality and Climate Change
56.92,B.3.1 Air Quality and Climate Change
42.75,B.3.1 Air Quality and Climate Change
34.84,B.3.1 Air Quality and Climate Change
46.12,B.3.1 Air Quality and Climate Change
53.3,B.3.1 Air Quality and Climate Change
36.81,B.3.1 Air Quality and Climate Change
42,B.3.1 Air Quality and Climate Change
66.37,B.3.1 Air Quality and Climate Change
57.25,B.3.1 Air Quality and Climate Change
56.56,B.3.1 Air Quality and Climate Change
68.88,B.3.1 Air Quality and Climate Change
42.4,B.3.1 Air Quality and Climate Change
63.8,B.3.1 Air Quality and Climate Change
20,B.3.1 Air Quality and Climate Change
48.66,B.3.1 Air Quality and Climate Change
55.38,B.3.1 Air Quality and Climate Change
50.55,B.3.1 Air Quality and Climate Change
25.07,B.3.1 Air Quality and Climate Change
47.73,B.3.1 Air Quality and Climate Change
41.44,B.3.1 Air Quality and Climate Change
54.1,B.3.1 Air Quality and Climate Change
53.53,B.3.1 Air Quality and Climate Change
44.36,B.3.1 Air Quality and Climate Change
51.37,B.3.1 Air Quality and Climate Change
40.22,B.3.1 Air Quality and Climate Change
52.75,B.3.1 Air Quality and Climate Change
49.56,B.3.1 Air Quality and Climate Change
61.09,B.3.1 Air Quality and Climate Change
61.07,B.3.1 Air Quality and Climate Change
50.32,B.3.1 Air Quality and Climate Change
61.05,B.3.1 Air Quality and Climate Change
60.33,B.3.1 Air Quality and Climate Change
38.37,B.3.1 Air Quality and Climate Change
51.95,B.3.1 Air Quality and Climate Change
49.55,B.3.1 Air Quality and Climate Change
43.48,B.3.1 Air Quality and Climate Change
36.37,B.3.1 Air Quality and Climate Change
49.84,B.3.1 Air Quality and Climate Change
45.97,B.3.1 Air Quality and Climate Change
48.99,B.3.1 Air Quality and Climate Change
54.43,B.3.1 Air Quality and Climate Change
51.35,B.3.1 Air Quality and Climate Change
53.07,B.3.1 Air Quality and Climate Change
34.63,B.3.1 Air Quality and Climate Change
65.06,B.3.1 Air Quality and Climate Change
56.04,B.3.1 Air Quality and Climate Change
55.41,B.3.1 Air Quality and Climate Change
35.24,B.3.1 Air Quality and Climate Change
52.67,B.3.1 Air Quality and Climate Change
48.85,B.3.1 Air Quality and Climate Change
61.32,B.3.1 Air Quality and Climate Change
82.25,B.3.2 Land Resources
57.13,B.3.2 Land Resources
75.91,B.3.2 Land Resources
49.88,B.3.2 Land Resources
64.23,B.3.2 Land Resources
41.91,B.3.2 Land Resources
58.12,B.3.2 Land Resources
80.42,B.3.2 Land Resources
59.1,B.3.2 Land Resources
47.44,B.3.2 Land Resources
47.33,B.3.2 Land Resources
69.56,B.3.2 Land Resources
57.07,B.3.2 Land Resources
47.52,B.3.2 Land Resources
60.41,B.3.2 Land Resources
75.83,B.3.2 Land Resources
43.15,B.3.2 Land Resources
51.65,B.3.2 Land Resources
47.61,B.3.2 Land Resources
60.92,B.3.2 Land Resources
55.12,B.3.2 Land Resources
70.13,B.3.2 Land Resources
59.46,B.3.2 Land Resources
75.07,B.3.2 Land Resources
58.22,B.3.2 Land Resources
61.76,B.3.2 Land Resources
53.44,B.3.2 Land Resources
68.81,B.3.2 Land Resources
63.81,B.3.2 Land Resources
39.6,B.3.2 Land Resources
46.78,B.3.2 Land Resources
58.36,B.3.2 Land Resources
59,B.3.2 Land Resources
55.03,B.3.2 Land Resources
60.91,B.3.2 Land Resources
42.41,B.3.2 Land Resources
56.81,B.3.2 Land Resources
57.29,B.3.2 Land Resources
44.54,B.3.2 Land Resources
55.6,B.3.2 Land Resources
45.89,B.3.2 Land Resources
52.75,B.3.2 Land Resources
72.58,B.3.2 Land Resources
61.93,B.3.2 Land Resources
70.76,B.3.2 Land Resources
55.26,B.3.2 Land Resources
47.39,B.3.2 Land Resources
60.48,B.3.2 Land Resources
61.82,B.3.2 Land Resources
66.34,B.3.2 Land Resources
52.68,B.3.2 Land Resources
47.95,B.3.2 Land Resources
53.97,B.3.2 Land Resources
46.18,B.3.2 Land Resources
57.24,B.3.2 Land Resources
58.89,B.3.2 Land Resources
74.43,B.3.2 Land Resources
42.26,B.3.2 Land Resources
46.97,B.3.2 Land Resources
65.94,B.3.2 Land Resources
68.68,B.3.2 Land Resources
60.21,B.3.2 Land Resources
71.13,B.3.2 Land Resources
57.83,B.3.2 Land Resources
43.68,B.3.2 Land Resources
85.1,B.3.2 Land Resources
49.32,B.3.2 Land Resources
65.97,B.3.2 Land Resources
58.73,B.3.2 Land Resources
42.64,B.3.2 Land Resources
54.11,B.3.2 Land Resources
69.29,B.3.2 Land Resources
74.06,B.3.2 Land Resources
55.75,B.3.2 Land Resources
59.51,B.3.2 Land Resources
57.1,B.3.2 Land Resources
75.62,B.3.2 Land Resources
59.98,B.3.2 Land Resources
62.31,B.3.2 Land Resources
48.84,B.3.2 Land Resources
67.73,B.3.2 Land Resources
80.74,B.3.2 Land Resources
60.81,B.3.2 Land Resources
80.12,B.3.2 Land Resources
48.43,B.3.2 Land Resources
80.05,B.3.2 Land Resources
48.3,B.3.2 Land Resources
52.23,B.3.2 Land Resources
67.03,B.3.2 Land Resources
52.67,B.3.2 Land Resources
38.55,B.3.2 Land Resources
63.52,B.3.2 Land Resources
82.74,B.3.2 Land Resources
52.96,B.3.2 Land Resources
57.35,B.3.2 Land Resources
55.69,B.3.2 Land Resources
88.89,B.3.2 Land Resources
56.3,B.3.2 Land Resources
51.01,B.3.2 Land Resources
54.98,B.3.2 Land Resources
69.22,B.3.2 Land Resources
64.63,B.3.2 Land Resources
43.36,B.3.2 Land Resources
59.15,B.3.2 Land Resources
45.24,B.3.2 Land Resources
61.52,B.3.2 Land Resources
49.94,B.3.2 Land Resources
47.96,B.3.2 Land Resources
44.26,B.3.2 Land Resources
61.35,B.3.2 Land Resources
47.72,B.3.2 Land Resources
63.02,B.3.2 Land Resources
79.02,B.3.2 Land Resources
54.13,B.3.2 Land Resources
54.68,B.3.2 Land Resources
68.72,B.3.2 Land Resources
34.14,B.3.2 Land Resources
55.61,B.3.2 Land Resources
69.22,B.3.2 Land Resources
77.93,B.3.2 Land Resources
43.11,B.3.2 Land Resources
39.62,B.3.2 Land Resources
52.35,B.3.2 Land Resources
64.79,B.3.2 Land Resources
66.57,B.3.2 Land Resources
44.27,B.3.2 Land Resources
68.66,B.3.2 Land Resources
69.04,B.3.2 Land Resources
63.84,B.3.2 Land Resources
46.59,B.3.2 Land Resources
81.43,B.3.2 Land Resources
64.88,B.3.2 Land Resources
48.79,B.3.2 Land Resources
64.93,B.3.2 Land Resources
55.89,B.3.2 Land Resources
73.59,B.3.2 Land Resources
67.07,B.3.2 Land Resources
62.02,B.3.2 Land Resources
72.29,B.3.2 Land Resources
59.14,B.3.2 Land Resources
57.84,B.3.2 Land Resources
58.14,B.3.2 Land Resources
56.49,B.3.2 Land Resources
34.34,B.3.2 Land Resources
41.81,B.3.2 Land Resources
34.49,B.3.2 Land Resources
52.03,B.3.3 Sanitation and Water Resources
58.54,B.3.3 Sanitation and Water Resources
51.4,B.3.3 Sanitation and Water Resources
57.04,B.3.3 Sanitation and Water Resources
61.65,B.3.3 Sanitation and Water Resources
61.1,B.3.3 Sanitation and Water Resources
57.69,B.3.3 Sanitation and Water Resources
49.11,B.3.3 Sanitation and Water Resources
59.87,B.3.3 Sanitation and Water Resources
66.37,B.3.3 Sanitation and Water Resources
47.66,B.3.3 Sanitation and Water Resources
55.7,B.3.3 Sanitation and Water Resources
50.14,B.3.3 Sanitation and Water Resources
69.16,B.3.3 Sanitation and Water Resources
38.71,B.3.3 Sanitation and Water Resources
77.95,B.3.3 Sanitation and Water Resources
63.34,B.3.3 Sanitation and Water Resources
49.55,B.3.3 Sanitation and Water Resources
63.51,B.3.3 Sanitation and Water Resources
60.2,B.3.3 Sanitation and Water Resources
56.61,B.3.3 Sanitation and Water Resources
27.92,B.3.3 Sanitation and Water Resources
36.7,B.3.3 Sanitation and Water Resources
52.63,B.3.3 Sanitation and Water Resources
45.72,B.3.3 Sanitation and Water Resources
63.5,B.3.3 Sanitation and Water Resources
65.68,B.3.3 Sanitation and Water Resources
49.55,B.3.3 Sanitation and Water Resources
38.49,B.3.3 Sanitation and Water Resources
70.06,B.3.3 Sanitation and Water Resources
65.53,B.3.3 Sanitation and Water Resources
66.14,B.3.3 Sanitation and Water Resources
64.52,B.3.3 Sanitation and Water Resources
42.14,B.3.3 Sanitation and Water Resources
61.53,B.3.3 Sanitation and Water Resources
55.97,B.3.3 Sanitation and Water Resources
49.78,B.3.3 Sanitation and Water Resources
52.08,B.3.3 Sanitation and Water Resources
40.21,B.3.3 Sanitation and Water Resources
48.9,B.3.3 Sanitation and Water Resources
51.63,B.3.3 Sanitation and Water Resources
61.82,B.3.3 Sanitation and Water Resources
66.17,B.3.3 Sanitation and Water Resources
56.95,B.3.3 Sanitation and Water Resources
28.95,B.3.3 Sanitation and Water Resources
60.6,B.3.3 Sanitation and Water Resources
60.13,B.3.3 Sanitation and Water Resources
54.21,B.3.3 Sanitation and Water Resources
72.65,B.3.3 Sanitation and Water Resources
63.93,B.3.3 Sanitation and Water Resources
50.67,B.3.3 Sanitation and Water Resources
49.52,B.3.3 Sanitation and Water Resources
58.59,B.3.3 Sanitation and Water Resources
45.58,B.3.3 Sanitation and Water Resources
59.94,B.3.3 Sanitation and Water Resources
49.04,B.3.3 Sanitation and Water Resources
66.67,B.3.3 Sanitation and Water Resources
74.71,B.3.3 Sanitation and Water Resources
55.01,B.3.3 Sanitation and Water Resources
61.04,B.3.3 Sanitation and Water Resources
68.35,B.3.3 Sanitation and Water Resources
56.43,B.3.3 Sanitation and Water Resources
42.81,B.3.3 Sanitation and Water Resources
56.23,B.3.3 Sanitation and Water Resources
54.14,B.3.3 Sanitation and Water Resources
46.05,B.3.3 Sanitation and Water Resources
52.96,B.3.3 Sanitation and Water Resources
28.22,B.3.3 Sanitation and Water Resources
57.15,B.3.3 Sanitation and Water Resources
60.03,B.3.3 Sanitation and Water Resources
58.74,B.3.3 Sanitation and Water Resources
51.09,B.3.3 Sanitation and Water Resources
42.58,B.3.3 Sanitation and Water Resources
52.81,B.3.3 Sanitation and Water Resources
57.21,B.3.3 Sanitation and Water Resources
55.6,B.3.3 Sanitation and Water Resources
51.03,B.3.3 Sanitation and Water Resources
35.48,B.3.3 Sanitation and Water Resources
34.78,B.3.3 Sanitation and Water Resources
62.09,B.3.3 Sanitation and Water Resources
53.71,B.3.3 Sanitation and Water Resources
40.7,B.3.3 Sanitation and Water Resources
36.06,B.3.3 Sanitation and Water Resources
53.84,B.3.3 Sanitation and Water Resources
58.04,B.3.3 Sanitation and Water Resources
42.87,B.3.3 Sanitation and Water Resources
61.98,B.3.3 Sanitation and Water Resources
59,B.3.3 Sanitation and Water Resources
50.36,B.3.3 Sanitation and Water Resources
34.44,B.3.3 Sanitation and Water Resources
60.56,B.3.3 Sanitation and Water Resources
49.18,B.3.3 Sanitation and Water Resources
82.68,B.3.3 Sanitation and Water Resources
47.63,B.3.3 Sanitation and Water Resources
65.55,B.3.3 Sanitation and Water Resources
54.28,B.3.3 Sanitation and Water Resources
39.5,B.3.3 Sanitation and Water Resources
59.79,B.3.3 Sanitation and Water Resources
56.55,B.3.3 Sanitation and Water Resources
66.04,B.3.3 Sanitation and Water Resources
51.28,B.3.3 Sanitation and Water Resources
56.65,B.3.3 Sanitation and Water Resources
35.74,B.3.3 Sanitation and Water Resources
61.55,B.3.3 Sanitation and Water Resources
67.35,B.3.3 Sanitation and Water Resources
54.69,B.3.3 Sanitation and Water Resources
54.68,B.3.3 Sanitation and Water Resources
53.56,B.3.3 Sanitation and Water Resources
66.4,B.3.3 Sanitation and Water Resources
53.96,B.3.3 Sanitation and Water Resources
64.06,B.3.3 Sanitation and Water Resources
36.73,B.3.3 Sanitation and Water Resources
69.25,B.3.3 Sanitation and Water Resources
53.43,B.3.3 Sanitation and Water Resources
52.4,B.3.3 Sanitation and Water Resources
56.34,B.3.3 Sanitation and Water Resources
43.49,B.3.3 Sanitation and Water Resources
42.79,B.3.3 Sanitation and Water Resources
55.35,B.3.3 Sanitation and Water Resources
60.44,B.3.3 Sanitation and Water Resources
49.85,B.3.3 Sanitation and Water Resources
55.89,B.3.3 Sanitation and Water Resources
52.32,B.3.3 Sanitation and Water Resources
48.23,B.3.3 Sanitation and Water Resources
32.71,B.3.3 Sanitation and Water Resources
