Scores,Indicators
10.28,"B.1.1 Reproductive, Maternal, New-born and Child Health"
58.14,"B.1.1 Reproductive, Maternal, New-born and Child Health"
42.35,"B.1.1 Reproductive, Maternal, New-born and Child Health"
48.02,"B.1.1 Reproductive, Maternal, New-born and Child Health"
55.29,"B.1.1 Reproductive, Maternal, New-born and Child Health"
81.28,"B.1.1 Reproductive, Maternal, New-born and Child Health"
86.12,"B.1.1 Reproductive, Maternal, New-born and Child Health"
40.92,"B.1.1 Reproductive, Maternal, New-born and Child Health"
70.28,"B.1.1 Reproductive, Maternal, New-born and Child Health"
23.29,"B.1.1 Reproductive, Maternal, New-born and Child Health"
50.35,"B.1.1 Reproductive, Maternal, New-born and Child Health"
88.76,"B.1.1 Reproductive, Maternal, New-born and Child Health"
89.36,"B.1.1 Reproductive, Maternal, New-born and Child Health"
43.91,"B.1.1 Reproductive, Maternal, New-born and Child Health"
8.95,"B.1.1 Reproductive, Maternal, New-born and Child Health"
34.69,"B.1.1 Reproductive, Maternal, New-born and Child Health"
28.59,"B.1.1 Reproductive, Maternal, New-born and Child Health"
26.55,"B.1.1 Reproductive, Maternal, New-born and Child Health"
42.17,"B.1.1 Reproductive, Maternal, New-born and Child Health"
60.45,"B.1.1 Reproductive, Maternal, New-born and Child Health"
63.88,"B.1.1 Reproductive, Maternal, New-born and Child Health"
10.04,"B.1.1 Reproductive, Maternal, New-born and Child Health"
16.15,"B.1.1 Reproductive, Maternal, New-born and Child Health"
39.36,"B.1.1 Reproductive, Maternal, New-born and Child Health"
29.69,"B.1.1 Reproductive, Maternal, New-born and Child Health"
8.7,"B.1.1 Reproductive, Maternal, New-born and Child Health"
76.64,"B.1.1 Reproductive, Maternal, New-born and Child Health"
0.95,"B.1.1 Reproductive, Maternal, New-born and Child Health"
0.59,"B.1.1 Reproductive, Maternal, New-born and Child Health"
59.92,"B.1.1 Reproductive, Maternal, New-born and Child Health"
67.52,"B.1.1 Reproductive, Maternal, New-born and Child Health"
40.32,"B.1.1 Reproductive, Maternal, New-born and Child Health"
51.31,"B.1.1 Reproductive, Maternal, New-born and Child Health"
5.09,"B.1.1 Reproductive, Maternal, New-born and Child Health"
78.57,"B.1.1 Reproductive, Maternal, New-born and Child Health"
61.11,"B.1.1 Reproductive, Maternal, New-born and Child Health"
94.3,"B.1.1 Reproductive, Maternal, New-born and Child Health"
87.25,"B.1.1 Reproductive, Maternal, New-born and Child Health"
6.83,"B.1.1 Reproductive, Maternal, New-born and Child Health"
87.06,"B.1.1 Reproductive, Maternal, New-born and Child Health"
25.7,"B.1.1 Reproductive, Maternal, New-born and Child Health"
40.84,"B.1.1 Reproductive, Maternal, New-born and Child Health"
39.82,"B.1.1 Reproductive, Maternal, New-born and Child Health"
90.49,"B.1.1 Reproductive, Maternal, New-born and Child Health"
15.2,"B.1.1 Reproductive, Maternal, New-born and Child Health"
39.27,"B.1.1 Reproductive, Maternal, New-born and Child Health"
95.22,"B.1.1 Reproductive, Maternal, New-born and Child Health"
82.84,"B.1.1 Reproductive, Maternal, New-born and Child Health"
18.35,"B.1.1 Reproductive, Maternal, New-born and Child Health"
53.69,"B.1.1 Reproductive, Maternal, New-born and Child Health"
82.61,"B.1.1 Reproductive, Maternal, New-born and Child Health"
18.14,"B.1.1 Reproductive, Maternal, New-born and Child Health"
87.27,"B.1.1 Reproductive, Maternal, New-born and Child Health"
3.63,"B.1.1 Reproductive, Maternal, New-born and Child Health"
37.97,"B.1.1 Reproductive, Maternal, New-born and Child Health"
73.7,"B.1.1 Reproductive, Maternal, New-born and Child Health"
95.19,"B.1.1 Reproductive, Maternal, New-born and Child Health"
35.65,"B.1.1 Reproductive, Maternal, New-born and Child Health"
31.76,"B.1.1 Reproductive, Maternal, New-born and Child Health"
49.6,"B.1.1 Reproductive, Maternal, New-born and Child Health"
30.4,"B.1.1 Reproductive, Maternal, New-born and Child Health"
86.66,"B.1.1 Reproductive, Maternal, New-born and Child Health"
87.02,"B.1.1 Reproductive, Maternal, New-born and Child Health"
91.94,"B.1.1 Reproductive, Maternal, New-born and Child Health"
96.81,"B.1.1 Reproductive, Maternal, New-born and Child Health"
46.65,"B.1.1 Reproductive, Maternal, New-born and Child Health"
60.22,"B.1.1 Reproductive, Maternal, New-born and Child Health"
18.04,"B.1.1 Reproductive, Maternal, New-born and Child Health"
40.84,"B.1.1 Reproductive, Maternal, New-born and Child Health"
20.91,"B.1.1 Reproductive, Maternal, New-born and Child Health"
75.28,"B.1.1 Reproductive, Maternal, New-born and Child Health"
63.64,"B.1.1 Reproductive, Maternal, New-born and Child Health"
5.84,"B.1.1 Reproductive, Maternal, New-born and Child Health"
3.4,"B.1.1 Reproductive, Maternal, New-born and Child Health"
59.22,"B.1.1 Reproductive, Maternal, New-born and Child Health"
81.73,"B.1.1 Reproductive, Maternal, New-born and Child Health"
92.77,"B.1.1 Reproductive, Maternal, New-born and Child Health"
14.95,"B.1.1 Reproductive, Maternal, New-born and Child Health"
14.76,"B.1.1 Reproductive, Maternal, New-born and Child Health"
62,"B.1.1 Reproductive, Maternal, New-born and Child Health"
3.06,"B.1.1 Reproductive, Maternal, New-born and Child Health"
70.94,"B.1.1 Reproductive, Maternal, New-born and Child Health"
8.34,"B.1.1 Reproductive, Maternal, New-born and Child Health"
44.72,"B.1.1 Reproductive, Maternal, New-born and Child Health"
43.85,"B.1.1 Reproductive, Maternal, New-born and Child Health"
51.08,"B.1.1 Reproductive, Maternal, New-born and Child Health"
46.28,"B.1.1 Reproductive, Maternal, New-born and Child Health"
90.07,"B.1.1 Reproductive, Maternal, New-born and Child Health"
38.75,"B.1.1 Reproductive, Maternal, New-born and Child Health"
8.48,"B.1.1 Reproductive, Maternal, New-born and Child Health"
25.08,"B.1.1 Reproductive, Maternal, New-born and Child Health"
22.69,"B.1.1 Reproductive, Maternal, New-born and Child Health"
24.34,"B.1.1 Reproductive, Maternal, New-born and Child Health"
87.78,"B.1.1 Reproductive, Maternal, New-born and Child Health"
73.54,"B.1.1 Reproductive, Maternal, New-born and Child Health"
34.53,"B.1.1 Reproductive, Maternal, New-born and Child Health"
6.58,"B.1.1 Reproductive, Maternal, New-born and Child Health"
2.23,"B.1.1 Reproductive, Maternal, New-born and Child Health"
71.31,"B.1.1 Reproductive, Maternal, New-born and Child Health"
95.76,"B.1.1 Reproductive, Maternal, New-born and Child Health"
61.56,"B.1.1 Reproductive, Maternal, New-born and Child Health"
19.48,"B.1.1 Reproductive, Maternal, New-born and Child Health"
23.64,"B.1.1 Reproductive, Maternal, New-born and Child Health"
32.8,"B.1.1 Reproductive, Maternal, New-born and Child Health"
42.54,"B.1.1 Reproductive, Maternal, New-born and Child Health"
30.89,"B.1.1 Reproductive, Maternal, New-born and Child Health"
82.57,"B.1.1 Reproductive, Maternal, New-born and Child Health"
83.21,"B.1.1 Reproductive, Maternal, New-born and Child Health"
73.77,"B.1.1 Reproductive, Maternal, New-born and Child Health"
61.22,"B.1.1 Reproductive, Maternal, New-born and Child Health"
69.09,"B.1.1 Reproductive, Maternal, New-born and Child Health"
27.25,"B.1.1 Reproductive, Maternal, New-born and Child Health"
72.19,"B.1.1 Reproductive, Maternal, New-born and Child Health"
18.15,"B.1.1 Reproductive, Maternal, New-born and Child Health"
71.77,"B.1.1 Reproductive, Maternal, New-born and Child Health"
41.53,"B.1.1 Reproductive, Maternal, New-born and Child Health"
3,"B.1.1 Reproductive, Maternal, New-born and Child Health"
94.82,"B.1.1 Reproductive, Maternal, New-born and Child Health"
71.46,"B.1.1 Reproductive, Maternal, New-born and Child Health"
95.56,"B.1.1 Reproductive, Maternal, New-born and Child Health"
29.13,"B.1.1 Reproductive, Maternal, New-born and Child Health"
90.49,"B.1.1 Reproductive, Maternal, New-born and Child Health"
88.57,"B.1.1 Reproductive, Maternal, New-born and Child Health"
60.08,"B.1.1 Reproductive, Maternal, New-born and Child Health"
16.36,"B.1.1 Reproductive, Maternal, New-born and Child Health"
93.82,"B.1.1 Reproductive, Maternal, New-born and Child Health"
87.95,"B.1.1 Reproductive, Maternal, New-born and Child Health"
37.02,"B.1.1 Reproductive, Maternal, New-born and Child Health"
12.36,"B.1.1 Reproductive, Maternal, New-born and Child Health"
51.73,"B.1.1 Reproductive, Maternal, New-born and Child Health"
27.96,"B.1.1 Reproductive, Maternal, New-born and Child Health"
12.01,"B.1.1 Reproductive, Maternal, New-born and Child Health"
41.9,"B.1.1 Reproductive, Maternal, New-born and Child Health"
