Scores,Indicators
45.49,Human Health
56.3,Human Health
54.42,Human Health
49.92,Human Health
54.08,Human Health
64.28,Human Health
58.88,Human Health
51.18,Human Health
61.88,Human Health
50.19,Human Health
50.24,Human Health
56.43,Human Health
59.91,Human Health
55.45,Human Health
41.88,Human Health
55.82,Human Health
48.65,Human Health
45.71,Human Health
45.21,Human Health
58.38,Human Health
51.32,Human Health
47.54,Human Health
48.95,Human Health
52.64,Human Health
52.58,Human Health
39.45,Human Health
61.41,Human Health
32.39,Human Health
39.61,Human Health
54.51,Human Health
56.85,Human Health
47.75,Human Health
53.88,Human Health
40.94,Human Health
55.18,Human Health
56.86,Human Health
60.88,Human Health
60.18,Human Health
39.34,Human Health
63.43,Human Health
46.12,Human Health
49.69,Human Health
55.7,Human Health
54.97,Human Health
43.74,Human Health
45.14,Human Health
62.49,Human Health
58.73,Human Health
40.15,Human Health
49.65,Human Health
61.77,Human Health
44.41,Human Health
58.83,Human Health
38.66,Human Health
52.63,Human Health
53.97,Human Health
65.22,Human Health
46.71,Human Health
49,Human Health
56.17,Human Health
50.17,Human Health
62.8,Human Health
63.94,Human Health
59.98,Human Health
66.24,Human Health
58.73,Human Health
53.14,Human Health
48.82,Human Health
54.93,Human Health
47.14,Human Health
50.67,Human Health
57.28,Human Health
36,Human Health
39.4,Human Health
54.98,Human Health
51.44,Human Health
61.59,Human Health
41.67,Human Health
46,Human Health
55.41,Human Health
43.65,Human Health
58.08,Human Health
44.62,Human Health
47.65,Human Health
47.99,Human Health
54.77,Human Health
51.26,Human Health
53.98,Human Health
53.42,Human Health
37.74,Human Health
45.67,Human Health
42.12,Human Health
49.57,Human Health
62.6,Human Health
62.64,Human Health
53.49,Human Health
45.77,Human Health
39.42,Human Health
52.77,Human Health
66.94,Human Health
61.68,Human Health
45.09,Human Health
42.02,Human Health
50.92,Human Health
54.22,Human Health
47.64,Human Health
57.05,Human Health
56.56,Human Health
63.84,Human Health
52.03,Human Health
52.69,Human Health
50.37,Human Health
61.08,Human Health
47.9,Human Health
54.66,Human Health
