GOHIDI,A.Human Health,B.Animal Health and Ecosystem Diversity,C.Environmental Health
52.73,51.32,56.49,50.39
48.47,45.67,54.6,45.16
45.93,48.95,44.02,44.84
56.44,56.43,58.79,54.12
48.61,52.58,50.45,42.83
51.06,54.42,45.03,53.74
45.39,39.45,48.45,48.29
61.51,61.41,60.63,62.51
49.39,52.64,43.34,52.21
42.15,32.39,46.31,47.76
54.24,54.41,56.89,51.44
41.63,39.61,44.4,40.9
55.93,54.51,58.74,54.55
52.81,56.85,55.82,45.79
55.2,47.75,60.88,56.99
44.15,39.34,48.72,44.39
54.87,53.88,58.88,51.87
57.49,55.18,61.66,55.64
54.32,56.86,55.05,51.05
55.6,60.88,54.48,51.45
59.48,60.18,62.31,55.95
46.75,41.88,56.52,41.88
60.98,63.43,60.08,59.45
48.9,46.12,53.86,46.72
53.23,49.69,60.47,49.55
44.51,43.74,45.69,44.12
58.73,54.97,65.43,55.8
53.48,45.14,62.8,52.52
59.22,62.49,57.25,57.95
59.6,58.73,57.83,62.24
46.39,40.15,43.07,55.96
51.84,49.65,56.07,49.8
60.25,61.77,59.32,59.67
46.39,44.41,49.47,45.31
56.17,58.83,52.67,57.04
52.83,51.18,55.16,52.17
51.83,49.92,54.73,50.87
42.97,38.66,49.23,41.04
50.9,52.63,51.67,48.41
57.04,53.97,66.14,51.04
62.09,65.22,57.17,63.89
47.73,46.71,52.97,43.52
61.74,64.28,59.38,61.58
50.83,49,56.54,46.98
55.36,56.17,53.39,56.52
50.27,50.17,48.8,51.85
59.82,62.8,56.88,59.79
56.47,63.94,51.78,53.71
58.6,59.98,58.15,57.68
42.02,40.94,44.53,40.61
61.74,66.24,62.84,56.14
53.25,53.14,59.96,46.66
48.66,45.49,51.52,48.97
60.28,58.88,60.21,61.75
56.5,58.73,54.56,56.22
49.1,48.82,52,46.49
57.79,66.27,55.58,51.53
53.55,54.93,57.27,48.46
43.87,47.14,43.69,40.8
56.41,57.28,57.53,54.44
46.5,36,55.82,47.7
55.87,50.67,61.84,55.1
42.83,39.4,43.69,45.41
52.94,54.98,51.9,51.95
56.44,51.44,64,53.91
57.4,61.59,47.09,63.54
44.95,41.67,51.81,41.37
48.22,46,48.48,50.21
51.08,55.41,53.21,44.64
43.65,43.65,38.37,48.94
58.28,58.08,62.4,54.38
48.11,44.62,55.5,44.24
57.62,61.88,63.16,47.85
48.41,47.65,44.03,53.58
53.26,47.99,62.4,49.4
51.24,51.26,55.59,46.88
53.68,54.77,55.2,51.08
53.17,53.98,56.3,49.24
49.98,50.19,56.26,43.5
52.86,53.42,52.41,52.75
46.72,37.74,53.12,49.32
51.65,54.08,50.54,50.33
58.31,61.68,62.38,50.89
42.89,42.12,34.71,51.87
53.26,50.24,57.31,52.26
49.36,49.57,42.65,55.89
59.8,62.6,60.87,55.96
58.28,62.64,50.33,61.88
52.64,53.49,55.9,48.53
57.92,59.91,55.55,58.3
50.39,45.77,55.94,49.47
43.1,39.42,43.11,46.78
63.56,66.94,62,61.76
49.84,45.09,56.98,47.45
45.95,42.02,49.36,46.48
51.6,50.92,55.12,48.78
55.62,54.22,59.54,53.11
51.83,47.64,56.34,51.53
54.93,57.05,56.17,51.58
56.14,56.56,56.45,55.43
47.31,51.39,40.08,50.48
54.85,63.84,54.79,45.93
53.82,55.82,52.78,52.88
52.27,52.03,51.15,53.64
53.82,52.69,52.94,55.86
48.91,50.37,49.85,46.52
51.03,48.65,54.13,50.32
56.33,61.08,54.8,53.11
50.8,47.9,56.1,48.42
53.36,54.66,57.05,48.38
48.34,48.97,43.15,52.91
45.96,39.63,57.72,40.53
62.72,70.3,65.82,52.06
59.44,57.18,63.14,58.03
47.77,50.46,50.78,42.08
61.03,60.46,63.58,59.05
48.87,41.54,56.58,48.5
45.66,40.93,52.91,43.14
49.56,45.71,53.76,49.24
56.82,59.24,52.95,58.3
46.8,47,45.89,47.52
61.01,62.5,61.58,58.98
62.24,61.85,60.25,64.64
51.14,45.21,55.17,53.05
54.25,56.9,56.51,49.36
53.07,54.32,56.48,48.43
45.94,43.2,49.74,44.88
49.79,52.62,41.07,55.7
59.28,69.14,56.2,52.53
54.57,54.84,55.84,53.03
55.2,59.07,53.18,53.37
55.53,57.53,56.05,53.03
51.82,56.3,48.32,50.85
48.14,45.14,51.25,48.06
52.5,48.93,57.57,51.01
47.92,52.77,41.11,49.87
53.55,55.7,49.76,55.21
61.23,60.64,61.11,61.96
47.8,44.24,51.37,47.8
53.02,55.45,55.23,48.41
58.19,54.06,62.67,57.87
45.09,47.54,46.14,41.6
50.47,50.11,50.83,50.48
55.37,59.07,63.44,43.6
45.35,45.06,46.79,44.23
53.14,58.38,48.72,52.35
