iso,code,country,B.2.3.4_raw_2016,B.2.3.4_raw_2017,B.2.3.4_raw_2018
ABW,533,Aruba,NA,NA,NA
AFG,4,Afghanistan,167.6,160,159.5
AGO,24,Angola,499.2,499,498.8
AIA,660,Anguilla,NA,NA,NA
ALB,8,Albania,458.6,467.4,439.7
AND,20,Andorra,NA,NA,NA
ARE,784,United Arab Emirates,89.9,90.2,89.7
ARG,32,Argentina,5804.1,5870.4,6595.9
ARM,51,Armenia,890.2,962.5,996.6
ATG,28,Antigua and Barbuda,897.1,885.7,886
AUS,36,Australia,6416.3,6137.6,6006.3
AUT,40,Austria,6159,6213.7,6380.9
AZE,31,Azerbaijan,1164.3,1170.1,1259.9
BDI,108,Burundi,157.3,139.5,127.7
BEL,56,Belgium,6849.3,7102.5,7292.3
BEN,204,Benin,172.2,172.3,172.3
BFA,854,Burkina Faso,87.6,87.6,72.2
BGD,50,Bangladesh,59.3,58.1,57.9
BGR,100,Bulgaria,752,725.4,695.7
BHR,48,Bahrain,1349.6,1369.8,1375.1
BHS,44,Bahamas,360.8,360.7,360.6
BIH,70,Bosnia and Herzegovina,1382.1,1369.1,1381.4
BLM,652,Saint Barthelemy,NA,NA,NA
BLR,112,Belarus,4648.9,4775.1,4800.8
BLZ,84,Belize,794.4,736.2,1159
BMU,60,Bermuda,3388.7,3387.7,3386.4
BOL,68,Bolivia,309.6,315.3,331.9
BRA,76,Brazil,1399.5,1545,1591.9
BRB,52,Barbados,1605.6,1706.1,1684.9
BRN,96,Brunei Darussalam,803.1,810.8,807.3
BTN,64,Bhutan,1385.5,1385.5,1385.4
BWA,72,Botswana,992,929.9,969.9
CAF,140,Central African Republic,249.7,249.4,249
CAN,124,Canada,8763.4,8756.8,7358
CHE,756,Switzerland,6499.7,6411.8,6510.2
CHL,152,Chile,1977.2,2563.3,1620.3
CHN,156,China,562.5,573.9,643.5
CIV,384,Cote d'Ivoire,106.4,108.2,133.3
CMR,120,Cameroon,110.3,110.6,110.4
COD,180,Dem. Rep. Congo,905.1,905.4,905
COG,178,Republic of Congo,1333.3,1400,1398
COK,184,Cook Islands,NA,NA,NA
COL,170,Colombia,1079,1092.3,1078.4
COM,174,Comoros,1386.1,1386.2,1386.3
CPV,132,Cabo Verde,112.6,152.2,152.2
CRI,188,Costa Rica,1369.7,1369.6,2110.3
CUB,192,Cuba,1622.7,1574.8,1647.5
CUW,531,Curacao,NA,NA,NA
CYM,136,Cayman Islands,NA,NA,NA
CYP,196,Cyprus,643.2,670.3,683.6
CZE,203,Czech Republic,6574.3,6689.1,6872.6
DEU,276,Germany,7682.1,7698,7990.7
DJI,262,Djibouti,266.8,266.8,266.8
DMA,212,Dominica,934.5,934.4,934.4
DNK,208,Denmark,9542.6,9748.8,9895.2
DOM,214,Dominican Republic,1549,1569.8,2569.3
DZA,12,Algeria,172.3,164.8,139.6
ECU,218,Ecuador,1747.1,1811.7,1670.6
EGY,818,Egypt,779,854.7,685.4
ERI,232,Eritrea,128.2,136.6,136.5
ESH,732,Western Sahara,76.1,76,76
ESP,724,Spain,1897.4,1804.7,1823.6
EST,233,Estonia,8889.5,8944,9144.1
ETH,231,Ethiopia,220.5,215.7,220
FIN,246,Finland,8602.1,8749.7,8834.3
FJI,242,Fiji,1721.5,1735.7,1736.4
FLK,238,Falkland Islands,1021.1,1020.5,1021.2
FRA,250,France,4635.6,4639.3,4630.3
FRO,234,Faeroe Islands,NA,NA,NA
FSM,583,Micronesia,NA,NA,NA
GAB,266,Gabon,1385,1386.1,1386.1
GBR,826,United Kingdom,7729,8048,8139.8
GEO,268,Georgia,756.2,758,851.2
GGY,831,Guernsey,NA,NA,NA
GHA,288,Ghana,136.1,135.4,135.4
GIN,324,Guinea,176.8,188,156
GMB,270,Gambia,1390.6,1391,1391.2
GNB,624,Guinea-Bissau,521.3,524,524.1
GNQ,226,Equatorial Guinea,NA,NA,NA
GRC,300,Greece,203.9,206,186.3
GRD,308,Grenada,814.9,814.9,814.9
