iso,code,country,B.3.1.1,B.3.1.2,B.3.1.3,B.3.1.4,B.3.1.5,B.3.2.1,B.3.2.2,B.3.2.3,B.3.2.4,B.3.2.5,B.3.1.1...13,B.3.3.2,B.3.3.3,B.3.4.1,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.4.6,B.3.4.7,B.3.5.1,B.3.5.2,B.3.5.3
ABW,533,Aruba,NA,NA,NA,NA,NA,7.07036754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,56.91080835,62,54.1,NA,100,NA,95,60.9,100,0,56.91080835,72.43421885,1299.037244,7.65067636,7.3,0,0,0,98.155,NA,5,90.7,57.7
AGO,24,Angola,32.38850491,36.4,42.9,32.33,60.3,0.125723662,31.2,49.3,63.5,0,32.38850491,56.88303903,4963.649817,7.930093878,17.8,5.2,0,0,83.043,NA,29.8,88.3,67.2
AIA,660,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,8,Albania,18.20060252,29.2,38,118,58.3,4.861273115,41.1,70.2,54.4,0.011829701,18.20060252,94.75822287,9361.54604,66.58507621,34.6,100,100,2.7,68.901,NA,38.6,82.1,39.6
AND,20,Andorra,10.30762139,0.2,48,NA,NA,NA,NA,NA,NA,NA,10.30762139,100,4098.860995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,784,United Arab Emirates,40.91750982,0,56.3,118,0,4.813372718,NA,100,100,0,40.91750982,99.968463,15.81076663,745.3496454,100,100,66.7,76.8,36.283,NA,8.9,81.3,76.8
ARG,32,Argentina,13.31183395,2.7,35.6,60,29.8,0.892866497,27.6,47.3,44.5,0.037822323,13.31183395,NA,6629.611829,48.23673622,60.9,67.3,51.3,5.9,56.588,NA,16.2,69.4,58.9
ARM,51,Armenia,32.52811834,3,54.4,98.17,60.3,NA,82.4,45.8,100,0.862419524,32.52811834,99.96873221,2329.199138,202.7363106,57,50.6,43,8.8,75.858,NA,19,92.4,48
ATG,28,Antigua and Barbuda,18.62234285,1.3,17.6,118,35.2,13.2094889,35.4,39.8,100,0,18.62234285,NA,544.9305737,3.225,69.8,28.2,45,1.3,NA,NA,53.8,NA,34
