iso,code,country,B.3.3.2_raw_2016,B.3.3.2_raw_2017,B.3.3.2_raw_2018,B.3.3.2_raw_2019,B.3.3.2_raw_2020
ABW,533,Aruba,NA,NA,NA,NA,NA
AFG,4,Afghanistan,64.0548831,66.80870335,69.60193058,72.43421885,75.09141325
AGO,24,Angola,55.08427644,55.84290632,56.59174872,56.88303903,57.16773762
AIA,660,Anguilla,NA,NA,NA,NA,NA
ALB,8,Albania,93.75487823,94.10209695,94.43639147,94.75822287,95.06803883
AND,20,Andorra,99.99999506,99.99999876,100,100,100
ARE,784,United Arab Emirates,99.97133164,99.97133082,99.97133,99.968463,99.965596
ARG,32,Argentina,99.0238575,NA,NA,NA,NA
ARM,51,Armenia,99.56094081,99.93512819,99.95192387,99.96873221,99.97118069
ATG,28,Antigua and Barbuda,NA,NA,NA,NA,NA
AUS,36,Australia,99.96997302,99.9699336,99.96989482,99.96985563,99.96981182
AUS,36,Australia,99.96997302,99.9699336,99.96989482,99.96985563,99.96981182
AUT,40,Austria,100,99.99999723,100,99.99999727,100
AZE,31,Azerbaijan,93.18356464,93.94159758,94.69388812,95.41371728,96.04337613
BDI,108,Burundi,60.20415097,60.83054996,61.46062113,62.09432063,62.20712225
BEL,56,Belgium,100,99.9999984,99.99999814,99.99999974,99.99999645
BEN,204,Benin,64.92204449,65.05242508,65.17792394,65.29850262,65.41412299
BFA,854,Burkina Faso,49.54416459,48.95459491,48.36939374,47.78959053,47.21485446
BGD,50,Bangladesh,97.22961308,97.35325339,97.47252486,97.58742193,97.69796025
BGR,100,Bulgaria,99.15790041,99.12020652,99.08322437,99.04696233,99.01141694
BHR,48,Bahrain,100,100,100,100,100
BHS,44,Bahamas,98.8869605,98.8869605,98.8869605,98.8869605,NA
BIH,70,Bosnia and Herzegovina,96.15126178,96.14235606,96.13317676,96.12369889,96.11389762
BLM,652,Saint Barthelemy,100,100,100,100,100
BLR,112,Belarus,96.48867563,96.50017049,96.51168256,96.52321031,96.53472608
BLZ,84,Belize,97.58453956,97.99257978,98.39929451,98.40054945,98.40195463
BMU,60,Bermuda,99.90314002,99.90314002,99.90314002,99.90314002,99.90314002
BOL,68,Bolivia,91.06696927,91.66415923,92.25507792,92.82597527,93.39007163
BRA,76,Brazil,97.95583878,98.45095466,98.67949474,98.93554441,99.32085299
BRB,52,Barbados,98.48444616,98.49444758,98.504449,98.51445042,98.51445042
BRN,96,Brunei Darussalam,99.90002801,99.90003021,99.90003241,99.9000346,99.9000368
BTN,64,Bhutan,96.83756512,97.23322488,97.25944181,97.28612149,97.31322263
