iso,code,country,B.3.3.3_raw_2012,B.3.3.3_raw_2017
ABW,533,Aruba,#N/A,#N/A
AFG,4,Afghanistan,1513.090981,1299.037244
AGO,24,Angola,5894.553214,4963.649817
AIA,660,Anguilla,NA,NA
ALB,8,Albania,9274.579618,9361.54604
AND,20,Andorra,3828.842491,4098.860995
ARE,784,United Arab Emirates,16.40850976,15.81076663
ARG,32,Argentina,6996.815562,6629.611829
ARM,51,Armenia,2378.096961,2329.199138
ATG,28,Antigua and Barbuda,575.1767009,544.9305737
AUS,36,Australia,21642.10339,19998.48792
AUT,40,Austria,6524.324878,6251.729171
AZE,31,Azerbaijan,872.9763945,823.5206844
BDI,108,Burundi,1088.039012,929.1577268
BEL,56,Belgium,1080.406362,1054.930402
BEN,204,Benin,1058.662874,921.6843881
BFA,854,Burkina Faso,754.3183822,651.271104
BGD,50,Bangladesh,695.3378386,657.5428072
BGR,100,Bulgaria,2874.393914,2967.800635
BHR,48,Bahrain,3.077060361,2.677238188
BHS,44,Bahamas,1925.293126,1833.665576
BIH,70,Bosnia and Herzegovina,9847.510605,10592.16466
BLM,652,Saint Barthelemy,NA,NA
BLR,112,Belarus,3592.373391,3579.601493
BLZ,84,Belize,45147.79542,40609.40723
BMU,60,Bermuda,#N/A,#N/A
BOL,68,Bolivia,29245.46601,27115.51738
BRA,76,Brazil,28406.22673,27238.10718
BRB,52,Barbados,281.9900035,279.4964871
BRN,96,Brunei Darussalam,21303.41832,20024.45339
BTN,64,Bhutan,111177.3107,104618.9256
BWA,72,Botswana,1176.729584,1088.39786
CAF,140,Central African Republic,31782.44757,30678.69765
CAN,124,Canada,82098.91612,77985.41509
CHE,756,Switzerland,5051.982272,4780.024231
CHL,152,Chile,50861.01959,47914.41025
CHN,156,China,2082.631534,2029.003278
CIV,384,Cote d'Ivoire,3566.126587,3144.351043
CMR,120,Cameroon,12706.38154,11112.88863
COD,180,Dem. Rep. Congo,13039.55713,11056.67881
COG,178,Republic of Congo,49221.79674,43438.26806
COK,184,Cook Islands,NA,NA
COL,170,Colombia,46553.80216,43856.20204
COM,174,Comoros,1657.767678,1474.400718
CPV,132,Cabo Verde,593.7760396,558.1405733
CRI,188,Costa Rica,24104.08014,22828.49036
CUB,192,Cuba,3386.303698,3361.772885
CUW,531,Curacao,#N/A,#N/A
