code,iso,country,source,variable,construct,y1970,y1980,y1989,y1990,y1991,y1992,y1993,y1994,y1995,y1996,y1997,y1998,y1999,y2000,y2001,y2002,y2003,y2004,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015,y2016,y2017
4,AFG,Afghanistan,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,
8,ALB,Albania,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,0.008,0.008,0.056,0.073,0.073,,,,,0.07,0.08,,
12,DZA,Algeria,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.3,0.3,0.32,0.32,0.39,0.39,0.45,0.48,0.53,0.56,0.6,0.61,0.65,0.65,0.65,0.65,0.68,0.72
20,AND,Andorra,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,0.037,0.036,0.035,0.171,0.196,0.311,0.477,0.864,0.98,0.98,0.98,0.98,1,1,1,1,1,,
24,AGO,Angola,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.178,,,,,,
32,ARG,Argentina,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,0.425,,,,,,,,,0.502,,,,,,,
51,ARM,Armenia,UNSD,Population connected to wastewater treatment,CXN,,,,0.639,,,,,0.502,0.514,0.518,0.521,0.525,0.528,0.53,0.535,0.537,0.539,0.541,0.542,0.544,0.547,0.549,0.552,0.554,0.555,0.59,0.594,0.606,,
36,AUS,Australia,OECD,Public total treatment (connected to a wastewater treatment plant),CXN,,,,,,,,,,,,,,,,,,,,,,,,0.932,0.935,0.941,0.941,0.926,0.924,0.925,0.927
40,AUT,Austria,UNSD,Population connected to wastewater treatment,CXN,,,,1,,,,,0.98,,,0.99,,1,1,1,1,1,,1,,1,,1,,1,,1,,,
31,AZE,Azerbaijan,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,0.131,0.135,0.136,0.136,0.139,0.138,0.141,0.141,0.141,0.144,0.184,0.185,0.189,,
48,BHR,Bahrain,UNSD,Population connected to wastewater treatment,CXN,,,,0.58,,,,,0.64,0.65,0.66,0.69,0.71,0.74,0.75,0.77,0.79,0.71,0.7,0.67,0.66,0.65,0.77,0.81,0.88,0.87,0.87,0.9,0.88,,
50,BGD,Bangladesh,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,,
112,BLR,Belarus,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.718,,,,,,
56,BEL,Belgium,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,0.398,0.49,0.53,0.55,0.56,0.65,0.686,0.689,0.717,0.729,0.74,0.88,0.972,0.956,0.967,0.959,0.971,0.943,0.956,,,,
84,BLZ,Belize,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.151,,,,,,,,,,0.106,,,,,,,
204,BEN,Benin,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0,0.042,,,,,
60,BMU,Bermuda,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,
64,BTN,Bhutan,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,
68,BOL,Bolivia,GWI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.319,,,,,,
70,BIH,Bosnia and Herzegovina,UNSD,Population connected to wastewater treatment,CXN,,,,,,,,,,,,,,0.02,0.02,0.02,0.022,0.022,0.022,0.022,0.022,0.028,0.028,0.03,0.032,0.036,0.036,0.036,0.036,,
72,BWA,Botswana,Pinset,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,
76,BRA,Brazil,EPI,Connection rate,CXN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6585,
92,VGB,British Virgin Islands,UNSD,Population connected to wastewater treatment,CXN,,,,,0.171,,,,,,,,,,0.245,,,,,,,,,,,,,,,,
