iso,code,country,B.2.2.1_raw_2020
ABW,533,Aruba,NA
AFG,4,Afghanistan,NA
AGO,24,Angola,4.4
AIA,660,Anguilla,NA
ALB,8,Albania,0.4
AND,20,Andorra,NA
ARE,784,United Arab Emirates,NA
ARG,32,Argentina,2.6
ARM,51,Armenia,NA
ATG,28,Antigua and Barbuda,NA
AUS,36,Australia,6.5
AUT,40,Austria,NA
AZE,31,Azerbaijan,NA
BDI,108,Burundi,NA
BEL,56,Belgium,0.1
BEN,204,Benin,NA
BFA,854,Burkina Faso,NA
BGD,50,Bangladesh,11
BGR,100,Bulgaria,8.7
BHR,48,Bahrain,NA
BHS,44,Bahamas,NA
BIH,70,Bosnia and Herzegovina,NA
BLM,652,Saint Barthelemy,NA
BLR,112,Belarus,NA
BLZ,84,Belize,NA
BMU,60,Bermuda,NA
BOL,68,Bolivia,NA
BRA,76,Brazil,NA
BRB,52,Barbados,NA
BRN,96,Brunei Darussalam,5.5
BTN,64,Bhutan,NA
BWA,72,Botswana,NA
CAF,140,Central African Republic,NA
CAN,124,Canada,6.5
CHE,756,Switzerland,NA
CHL,152,Chile,26.1
CHN,156,China,3.3
CIV,384,Cote d'Ivoire,NA
CMR,120,Cameroon,12.5
COD,180,Dem. Rep. Congo,NA
COG,178,Republic of Congo,NA
COK,184,Cook Islands,NA
COL,170,Colombia,18.1
COM,174,Comoros,NA
CPV,132,Cabo Verde,NA
CRI,188,Costa Rica,10.9
CUB,192,Cuba,NA
CUW,531,Curacao,NA
CYM,136,Cayman Islands,NA
CYP,196,Cyprus,NA
CZE,203,Czech Republic,NA
DEU,276,Germany,0.9
DJI,262,Djibouti,NA
DMA,212,Dominica,NA
DNK,208,Denmark,2.8
DOM,214,Dominican Republic,NA
DZA,12,Algeria,NA
ECU,218,Ecuador,NA
EGY,818,Egypt,NA
ERI,232,Eritrea,NA
ESH,732,Western Sahara,NA
ESP,724,Spain,9.3
EST,233,Estonia,2.9
ETH,231,Ethiopia,NA
FIN,246,Finland,2.1
FJI,242,Fiji,69.9
FLK,238,Falkland Islands,NA
FRA,250,France,9.4
FRO,234,Faeroe Islands,NA
FSM,583,Micronesia,70.8
GAB,266,Gabon,NA
GBR,826,United Kingdom,3.7
GEO,268,Georgia,3.2
GGY,831,Guernsey,NA
GHA,288,Ghana,NA
GIN,324,Guinea,1.7
GMB,270,Gambia,14.2
GNB,624,Guinea-Bissau,NA
GNQ,226,Equatorial Guinea,4.3
GRC,300,Greece,12.7
GRD,308,Grenada,NA
GRL,304,Greenland,NA
GTM,320,Guatemala,NA
GUY,328,Guyana,NA
HKG,344,Hong Kong,NA
HND,340,Honduras,NA
HRV,191,Croatia,10.1
HTI,332,Haiti,NA
HUN,348,Hungary,NA
IDN,360,Indonesia,6.7
IMN,833,Isle of Man,NA
IND,356,India,13.1
IRL,372,Ireland,1
IRN,364,Iran,9.6
IRQ,368,Iraq,NA
ISL,352,Iceland,2.4
ISR,376,Israel,NA
ITA,380,Italy,4.7
JAM,388,Jamaica,NA
JEY,832,Jersey,NA
JOR,400,Jordan,NA
JPN,392,Japan,7
KAZ,398,Kazakhstan,NA
KEN,404,Kenya,NA
KGZ,417,Kyrgyzstan,NA
KHM,116,Cambodia,9.9
KIR,296,Kiribati,87.4
KNA,659,Saint Kitts and Nevis,NA
KOR,410,South Korea,1.5
KWT,414,Kuwait,NA
LAO,418,Laos,NA
LBN,422,Lebanon,NA
LBR,430,Liberia,3.1
LBY,434,Libya,NA
