iso,code,country,B.2.1.1_raw_2016-2020,B.2.1.2_raw_2016-2020,B.2.2.1_raw_2020,B.2.2.2_raw_2020,B.2.3.1_raw_2018,B.2.3.2_raw_2018,B.2.3.3_raw_2018,B.2.3.4_raw_2018,B.2.4.1_raw_2020,B.2.4.2_raw_2020,B.2.4.3_raw_2020,B.2.4.4_raw_2020,B.2.4.5_raw_2020,B.2.4.6_raw_2020
ABW,533,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
AFG,4,Afghanistan,1,1,NA,NA,0.8,NA,180,159.5,0,1,1,0,1,0
AGO,24,Angola,1,NA,4.4,16.9,0.9,65,161.2,498.8,10,17,21,0,3,0
AIA,660,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
ALB,8,Albania,1,NA,0.4,NA,1.106,44.5,149.5,439.7,0,0,0,0,0,0
AND,20,Andorra,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
ARE,784,United Arab Emirates,1,1,NA,13.5,1.2,NA,250,89.7,0,0,0,0,0,0
ARG,32,Argentina,1,1,2.6,0.7,2.9083,91.5,227.9,6595.9,85,16,43,0,0,1
ARM,51,Armenia,1,1,NA,NA,1.3082,68.4,139.3,996.6,2,0,0,0,0,0
ATG,28,Antigua and Barbuda,NA,NA,NA,1.4,1.2,100,336,886,0,1,0,0,0,0
AUS,36,Australia,1,NA,6.5,0.7,1.8769,77.6,280.4,6006.3,255,359,209,5,7,146
AUT,40,Austria,1,1,NA,NA,1.3952,98.9,336.7,6380.9,0,0,0,0,0,0
AZE,31,Azerbaijan,1,1,NA,NA,1.181,52.4,111.9,1259.9,0,0,0,0,0,0
BDI,108,Burundi,1,NA,NA,NA,0.9,75.6,202,127.7,1,0,1,0,0,0
BEL,56,Belgium,1,1,0.1,NA,1.5137,95.6,312.3,7292.3,0,0,0,0,0,0
BEN,204,Benin,1,NA,NA,NA,0.55,30,148,172.3,0,0,0,0,0,0
BFA,854,Burkina Faso,1,NA,NA,NA,0.8,30,86.5,72.2,0,0,0,0,0,0
BGD,50,Bangladesh,1,1,11,34.5,0.7,NA,71.3,57.9,0,0,0,0,0,0
BGR,100,Bulgaria,1,1,8.7,NA,1.7056,67.7,142.1,695.7,0,0,0,0,0,0
BHR,48,Bahrain,1,NA,NA,NA,1.6436,NA,120,1375.1,0,0,0,0,0,0
BHS,44,Bahamas,NA,NA,NA,9.4,1.2042,50,170,360.6,1,8,1,0,0,0
BIH,70,Bosnia and Herzegovina,1,1,NA,NA,1.538,71.9,205,1381.4,0,0,0,0,0,0
BLM,652,Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,112,Belarus,1,1,NA,NA,1.332,84.3,182.3,4800.8,0,0,0,0,0,0
BLZ,84,Belize,1,1,NA,NA,1.6861,54.4,204.1,1159,0,0,1,0,2,0
BMU,60,Bermuda,NA,NA,NA,NA,1.2,71.7,161.9,3386.4,0,5,0,0,0,0
BOL,68,Bolivia,1,NA,NA,NA,2.3277,50.8,194.8,331.9,21,20,73,0,1,0
BRA,76,Brazil,1,1,NA,8.3,2.3781,88.8,250,1591.9,203,254,548,7,12,21
BRB,52,Barbados,1,NA,NA,3.8,1.6236,79.1,207,1684.9,0,1,0,0,0,0
BRN,96,Brunei Darussalam,NA,NA,5.5,NA,1.4806,35,242.2,807.3,0,0,0,0,1,0
BTN,64,Bhutan,1,1,NA,NA,0.6997,41.5,103,1385.4,0,0,1,0,1,0
BWA,72,Botswana,1,1,NA,NA,0.9028,38,199.2,969.9,0,0,0,0,0,0
CAF,140,Central African Republic,1,NA,NA,NA,0.8583,30.4,156,249,2,0,7,0,1,0
CAN,124,Canada,1,1,6.5,5.1,1.7172,99.4,335.1,7358,5,0,0,0,0,0
CHE,756,Switzerland,1,1,NA,NA,1.3672,89.9,235.4,6510.2,0,0,0,0,0,0
CHL,152,Chile,1,1,26.1,5.9,2.2353,103.9,264.4,1620.3,15,10,36,0,0,8
CHN,156,China,1,1,3.3,19.8,1.387,79.2,146.6,643.5,88,70,254,0,214,4
CIV,384,Cote d'Ivoire,1,NA,NA,10.2,0.9261,32.1,109,133.3,1,0,4,0,0,0
CMR,120,Cameroon,1,1,12.5,NA,0.8,30,103,110.4,18,6,56,0,5,0
COD,180,Dem. Rep. Congo,1,1,NA,NA,0.6005,44.9,187.6,905,39,14,50,0,12,0
COG,178,Republic of Congo,NA,NA,NA,NA,1,48.7,156,1398,4,0,1,0,0,0
COK,184,Cook Islands,NA,NA,NA,NA,0.8,30,109.2,NA,0,7,0,0,0,0
COL,170,Colombia,1,1,18.1,17.1,2.0353,83.9,217.5,1078.4,45,93,373,0,76,2
COM,174,Comoros,NA,NA,NA,23.8,0.8,NA,110,1386.3,4,20,0,0,0,1
CPV,132,Cabo Verde,NA,NA,NA,10.6,1.7425,50,156.6,152.2,0,5,0,0,0,1
CRI,188,Costa Rica,1,1,10.9,10.4,1.7331,73.5,236.1,2110.3,5,8,60,0,9,1
CUB,192,Cuba,1,1,NA,2.9,1.3579,56.9,161.9,1647.5,0,0,0,0,0,0
CUW,531,Curacao,NA,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,0
CYM,136,Cayman Islands,NA,NA,NA,NA,NA,NA,NA,NA,19,27,59,0,2,0
CYP,196,Cyprus,1,1,NA,10.4,2,74.6,312.9,683.6,1,1,0,0,0,0
CZE,203,Czech Republic,1,NA,NA,NA,1.3191,91.1,302.4,6872.6,0,0,0,0,0,0
DEU,276,Germany,1,1,0.9,4.9,1.6189,94.4,322.6,7990.7,0,0,0,0,0,0
DJI,262,Djibouti,1,NA,NA,NA,NA,NA,114.9,266.8,0,1,0,0,0,0
DMA,212,Dominica,1,NA,NA,NA,1,60,180,934.4,1,0,11,0,0,0
DNK,208,Denmark,1,1,2.8,5.1,1.5078,87.5,261.6,9895.2,0,0,0,0,0,0
DOM,214,Dominican Republic,1,1,NA,27.4,1.5711,62.9,149.7,2569.3,0,2,1,0,0,0
DZA,12,Algeria,1,1,NA,1.9,1,40.3,222.4,139.6,1,1,1,0,0,0
ECU,218,Ecuador,1,NA,NA,9,2.1263,108.3,208.9,1670.6,33,42,163,1,11,6
EGY,818,Egypt,1,1,NA,9.5,1.3756,24.7,246.6,685.4,5,0,1,0,0,0
ERI,232,Eritrea,1,NA,NA,18.1,0.8523,NA,94.7,136.5,0,0,1,0,0,0
ESH,732,Western Sahara,NA,NA,NA,NA,NA,NA,NA,76,0,0,0,0,0,0
ESP,724,Spain,1,1,9.3,7.3,1.9274,86.6,271.7,1823.6,3,8,3,0,0,0
EST,233,Estonia,1,1,2.9,36.2,1.689,77.9,312.9,9144.1,0,0,0,0,0,0
ETH,231,Ethiopia,1,NA,NA,NA,0.8,50,108.6,220,38,18,25,0,2,0
FIN,246,Finland,1,1,2.1,22.9,1.6638,92.4,313.3,8834.3,0,0,0,0,0,0
FJI,242,Fiji,1,NA,69.9,10.7,3,45,211.2,1736.4,1,36,2,0,1,1
FLK,238,Falkland Islands,NA,NA,NA,NA,1.2991,NA,260.7,1021.2,1,3,0,0,0,2
FRA,250,France,1,NA,9.4,14.4,1.3989,91.9,311.8,4630.3,0,1,3,0,0,0
FRO,234,Faeroe Islands,1,NA,NA,NA,NA,NA,120.4,NA,0,0,0,0,0,0
FSM,583,Micronesia,NA,NA,70.8,0,0.798,30,136,NA,3,22,0,0,0,0
GAB,266,Gabon,1,NA,NA,5.5,0.8,30,132,1386.1,3,1,3,0,0,0
GBR,826,United Kingdom,1,1,3.7,13.1,1.5391,84.8,328,8139.8,0,1,0,0,0,0
GEO,268,Georgia,1,1,3.2,NA,1.7964,37.9,78.8,851.2,0,0,0,0,0,0
GGY,831,Guernsey,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
GHA,288,Ghana,1,NA,NA,6.9,0.6782,42.4,152.8,135.4,1,0,4,0,1,0
GIN,324,Guinea,1,NA,1.7,28.1,1.802,21.2,105.1,156,2,0,8,0,2,0
GMB,270,Gambia,1,NA,14.2,NA,1,40,120,1391.2,0,0,0,0,0,0
GNB,624,Guinea-Bissau,1,NA,NA,3.5,0.798,40,110,524.1,0,0,0,0,0,0
GNQ,226,Equatorial Guinea,NA,NA,4.3,15.8,0.8,45,110,NA,3,4,2,0,0,0
GRC,300,Greece,1,1,12.7,4.5,1.6292,58.2,224.3,186.3,2,0,3,0,0,0
GRD,308,Grenada,NA,NA,NA,NA,0.9705,72.3,159.2,814.9,1,3,2,0,0,0
GRL,304,Greenland,NA,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
GTM,320,Guatemala,1,NA,NA,15,1.5988,50,172.8,707.7,6,1,54,0,6,0
GUY,328,Guyana,1,NA,NA,7.3,1.5226,110.2,213.1,1111.3,0,0,26,0,2,0
HKG,344,Hong Kong,1,1,NA,NA,1.5097,77.7,301.7,2479.4,0,0,3,0,4,0
HND,340,Honduras,1,NA,NA,16.5,1.8596,58,186.7,1372.9,6,1,57,0,1,0
HRV,191,Croatia,1,1,10.1,21.8,1.015,72.4,239.8,1751.6,0,0,0,0,0,0
HTI,332,Haiti,1,NA,NA,18.9,0.9,60,155.7,118.9,7,31,21,0,0,0
HUN,348,Hungary,1,1,NA,NA,1.9129,94.1,257,7314.3,0,0,0,0,0,0
IDN,360,Indonesia,1,1,6.7,11.9,0.8563,19.9,432.9,106.4,295,525,213,4,71,18
IMN,833,Isle of Man,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
IND,356,India,1,1,13.1,17,1.4062,35,103,1318.2,54,74,167,0,60,4
IRL,372,Ireland,1,1,1,11.8,1.0556,87.7,336.6,5274,0,0,0,0,0,0
IRN,364,Iran,1,1,9.6,10.3,1.1603,NA,430.8,370.7,9,1,4,0,3,0
IRQ,368,Iraq,1,NA,NA,NA,1.1427,NA,214.5,95.3,0,0,0,0,0,0
ISL,352,Iceland,1,NA,2.4,2.8,1.6704,83.5,209.4,5949.4,0,0,0,0,0,0
ISR,376,Israel,1,1,NA,NA,1.1841,78,283.4,3872.9,1,0,1,0,0,0
ITA,380,Italy,1,1,4.7,0.6,1.8207,130.7,295.9,1688.2,4,0,13,0,0,0
JAM,388,Jamaica,1,NA,NA,0.7,1.6663,68.4,258.7,373,0,0,0,0,0,0
JEY,832,Jersey,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0
JOR,400,Jordan,1,NA,NA,NA,0.9233,NA,243.7,123,0,0,0,0,0,0
JPN,392,Japan,1,1,7,1.1,2.82,78.2,444.4,8464.6,46,24,46,4,21,14
KAZ,398,Kazakhstan,1,1,NA,NA,1.7087,74.6,175.5,1897,4,0,0,0,0,0
KEN,404,Kenya,1,1,NA,5.2,1.1827,65.4,234.4,338.5,19,12,17,0,7,0
KGZ,417,Kyrgyzstan,1,1,NA,NA,1.3962,73.4,164.7,1198.7,1,0,0,0,0,0
KHM,116,Cambodia,1,NA,9.9,5.2,1,50,120,199.3,0,2,5,0,1,0
KIR,296,Kiribati,NA,NA,87.4,27.9,0.85,40,NA,NA,0,2,0,0,0,0
KNA,659,Saint Kitts and Nevis,NA,NA,NA,NA,0.7421,52.5,232.7,NA,0,0,0,0,0,0
KOR,410,South Korea,1,1,1.5,23,0.8159,76.3,325.5,7319,0,0,4,0,0,0
KWT,414,Kuwait,1,NA,NA,NA,1.3438,NA,288.4,1595.3,0,0,0,0,0,0
LAO,418,Laos,1,1,NA,NA,0.8009,27.7,126.1,1395.1,4,1,5,0,13,0
LBN,422,Lebanon,1,NA,NA,NA,1.8803,55,206.6,377.8,0,0,0,0,0,0
LBR,430,Liberia,NA,NA,3.1,16,0.8,40,125,1388.5,0,0,3,0,3,0
