code,iso,country,B.2.2.2_raw_2020
4,AFG,Afghanistan,NA
24,AGO,Angola,16.9
8,ALB,Albania,NA
784,ARE,United Arab Emirates,13.5
32,ARG,Argentina,0.7
51,ARM,Armenia,NA
28,ATG,Antigua and Barbuda,1.4
36,AUS,Australia,0.7
40,AUT,Austria,NA
31,AZE,Azerbaijan,NA
108,BDI,Burundi,NA
56,BEL,Belgium,NA
204,BEN,Benin,NA
854,BFA,Burkina Faso,NA
50,BGD,Bangladesh,34.5
100,BGR,Bulgaria,NA
48,BHR,Bahrain,NA
44,BHS,Bahamas,9.4
70,BIH,Bosnia and Herzegovina,NA
112,BLR,Belarus,NA
84,BLZ,Belize,NA
68,BOL,Bolivia,NA
76,BRA,Brazil,8.3
52,BRB,Barbados,3.8
96,BRN,Brunei Darussalam,NA
64,BTN,Bhutan,NA
72,BWA,Botswana,NA
140,CAF,Central African Republic,NA
124,CAN,Canada,5.1
756,CHE,Switzerland,NA
152,CHL,Chile,5.9
156,CHN,China,19.8
384,CIV,Cote d'Ivoire,10.2
120,CMR,Cameroon,NA
180,COD,Dem. Rep. Congo,NA
178,COG,Republic of Congo,NA
170,COL,Colombia,17.1
174,COM,Comoros,23.8
132,CPV,Cabo Verde,10.6
188,CRI,Costa Rica,10.4
192,CUB,Cuba,2.9
196,CYP,Cyprus,10.4
203,CZE,Czech Republic,NA
276,DEU,Germany,4.9
262,DJI,Djibouti,NA
212,DMA,Dominica,NA
208,DNK,Denmark,5.1
214,DOM,Dominican Republic,27.4
12,DZA,Algeria,1.9
218,ECU,Ecuador,9
818,EGY,Egypt,9.5
232,ERI,Eritrea,18.1
724,ESP,Spain,7.3
233,EST,Estonia,36.2
231,ETH,Ethiopia,NA
246,FIN,Finland,22.9
242,FJI,Fiji,10.7
250,FRA,France,14.4
583,FSM,Micronesia,0
266,GAB,Gabon,5.5
826,GBR,United Kingdom,13.1
268,GEO,Georgia,NA
288,GHA,Ghana,6.9
324,GIN,Guinea,28.1
270,GMB,Gambia,NA
624,GNB,Guinea-Bissau,3.5
226,GNQ,Equatorial Guinea,15.8
300,GRC,Greece,4.5
308,GRD,Grenada,NA
320,GTM,Guatemala,15
328,GUY,Guyana,7.3
340,HND,Honduras,16.5
191,HRV,Croatia,21.8
332,HTI,Haiti,18.9
348,HUN,Hungary,NA
360,IDN,Indonesia,11.9
356,IND,India,17
372,IRL,Ireland,11.8
364,IRN,Iran,10.3
368,IRQ,Iraq,NA
352,ISL,Iceland,2.8
376,ISR,Israel,NA
380,ITA,Italy,0.6
388,JAM,Jamaica,0.7
400,JOR,Jordan,NA
392,JPN,Japan,1.1
398,KAZ,Kazakhstan,NA
404,KEN,Kenya,5.2
417,KGZ,Kyrgyzstan,NA
116,KHM,Cambodia,5.2
296,KIR,Kiribati,27.9
410,KOR,South Korea,23
414,KWT,Kuwait,NA
418,LAO,Laos,NA
422,LBN,Lebanon,NA
430,LBR,Liberia,16
662,LCA,Saint Lucia,NA
144,LKA,Sri Lanka,12
426,LSO,Lesotho,NA
440,LTU,Lithuania,NA
442,LUX,Luxembourg,NA
428,LVA,Latvia,3.5
504,MAR,Morocco,22.9
498,MDA,Moldova,NA
450,MDG,Madagascar,13.7
462,MDV,Maldives,8.6
484,MEX,Mexico,7.3
584,MHL,Marshall Islands,35.4
807,MKD,North Macedonia,NA
466,MLI,Mali,NA
470,MLT,Malta,16.7
104,MMR,Myanmar,12.6
499,MNE,Montenegro,NA
496,MNG,Mongolia,NA
508,MOZ,Mozambique,12.5
478,MRT,Mauritania,14.7
480,MUS,Mauritius,4.6
454,MWI,Malawi,NA
458,MYS,Malaysia,11.1
516,NAM,Namibia,16.7
562,NER,Niger,NA
566,NGA,Nigeria,15.5
558,NIC,Nicaragua,11.7
528,NLD,Netherlands,8.3
578,NOR,Norway,11.9
524,NPL,Nepal,NA
554,NZL,New Zealand,7.3
512,OMN,Oman,25.7
586,PAK,Pakistan,6.2
591,PAN,Panama,6.2
604,PER,Peru,25.1
608,PHL,Philippines,8.5
598,PNG,Papua New Guinea,3.1
616,POL,Poland,2.6
620,PRT,Portugal,1.6
600,PRY,Paraguay,NA
634,QAT,Qatar,NA
642,ROU,Romania,NA
643,RUS,Russia,3.8
646,RWA,Rwanda,NA
682,SAU,Saudi Arabia,12.3
729,SDN,Sudan,6.4
686,SEN,Senegal,9.9
702,SGP,Singapore,NA
90,SLB,Solomon Islands,9.2
694,SLE,Sierra Leone,31.1
222,SLV,El Salvador,0
688,SRB,Serbia,NA
678,STP,Sao Tome and Principe,19.9
740,SUR,Suriname,8.8
703,SVK,Slovakia,NA
705,SVN,Slovenia,NA
752,SWE,Sweden,5.9
748,SWZ,Eswatini,NA
690,SYC,Seychelles,8.9
148,TCD,Chad,NA
768,TGO,Togo,NA
764,THA,Thailand,3.3
762,TJK,Tajikistan,NA
795,TKM,Turkmenistan,NA
626,TLS,Timor-Leste,18.6
776,TON,Tonga,6.3
780,TTO,Trinidad and Tobago,9.8
788,TUN,Tunisia,24.6
792,TUR,Turkey,2.4
158,TWN,Taiwan,14.3
834,TZA,Tanzania,13.9
800,UGA,Uganda,NA
804,UKR,Ukraine,11.8
858,URY,Uruguay,7.1
840,USA,United States of America,8.9
860,UZB,Uzbekistan,NA
670,VCT,Saint Vincent and the Grenadines,NA
862,VEN,Venezuela,0
704,VNM,Viet Nam,35.3
548,VUT,Vanuatu,7.6
882,WSM,Samoa,8.6
710,ZAF,South Africa,7.8
894,ZMB,Zambia,NA
716,ZWE,Zimbabwe,NA
