iso,code,country,B.3.4.1_raw_2016,B.3.4.1_raw_2017,B.3.4.1_raw_2018
ABW,533,Aruba,#N/A,#N/A,#N/A
AFG,4,Afghanistan,13.6801462,20.4525289,7.65067636
AGO,24,Angola,7.241269388,10.67468163,7.930093878
AIA,660,Anguilla,NA,NA,NA
ALB,8,Albania,126.1384814,100.6473225,66.58507621
AND,20,Andorra,#N/A,#N/A,#N/A
ARE,784,United Arab Emirates,708.5008989,708.5008989,745.3496454
ARG,32,Argentina,41.28806122,42.30753163,48.23673622
ARM,51,Armenia,330.4903674,202.5544843,202.7363106
ATG,28,Antigua and Barbuda,18.2125,5.2625,3.225
AUS,36,Australia,89.08681006,89.32498179,85.87009363
AUT,40,Austria,139.7206376,134.8759161,135.0578307
AZE,31,Azerbaijan,44.2146073,36.67366913,60.67989895
BDI,108,Burundi,14.41630833,17.751625,23.780925
BEL,56,Belgium,294.8151636,298.3407297,293.4268824
BEN,204,Benin,9.949325,0.016396429,36.63401071
BFA,854,Burkina Faso,21.77351667,18.17412,17.57213667
BGD,50,Bangladesh,289.4022702,303.7127465,318.4668631
BGR,100,Bulgaria,123.8166476,126.4671489,126.8700403
BHR,48,Bahrain,458.88125,211.73125,1990.53125
BHS,44,Bahamas,189.88,189.88,188.2675
BIH,70,Bosnia and Herzegovina,107.9054581,106.4787453,84.7627794
BLM,652,Saint Barthelemy,NA,NA,NA
BLR,112,Belarus,146.6186354,142.446307,156.1857493
BLZ,84,Belize,413.2660227,333.4345556,238.6815556
BMU,60,Bermuda,177.2,181.4666667,214.9333333
BOL,68,Bolivia,7.698569175,7.642409809,6.658040179
BRA,76,Brazil,263.389183,297.3863762,304.6585157
BRB,52,Barbados,113.8042857,147.8542857,77.98857143
BRN,96,Brunei Darussalam,141.8,141.8,141.8
BTN,64,Bhutan,13.2533,30.48994709,35.9756383
BWA,72,Botswana,89.57241911,89.57241911,89.57241911
CAF,140,Central African Republic,0.22465,0.186766667,0.186766667
CAN,124,Canada,99.27329354,101.8203537,111.8205082
CHE,756,Switzerland,212.110053,199.8879161,187.792803
CHL,152,Chile,293.8448338,291.0484945,307.604427
CHN,156,China,463.187015,421.4677499,393.2154566
CIV,384,Cote d'Ivoire,44.11828,39.26288,30.87347429
CMR,120,Cameroon,10.90362258,13.02838065,12.9503129
COD,180,Dem. Rep. Congo,1.43181626,1.794387288,1.270824576
COG,178,Republic of Congo,2.167981818,2.309054545,2.350327273
COK,184,Cook Islands,NA,NA,NA
COL,170,Colombia,606.1439187,196.1009105,182.4362415
COM,174,Comoros,#N/A,#N/A,#N/A
CPV,132,Cabo Verde,#N/A,#N/A,#N/A
CRI,188,Costa Rica,559.6607103,636.4528032,641.8411485
CUB,192,Cuba,44.86432825,45.29262532,38.63482431
CUW,531,Curacao,#N/A,#N/A,#N/A
CYM,136,Cayman Islands,#N/A,#N/A,#N/A
CYP,196,Cyprus,204.0441176,173.539701,157.710687
CZE,203,Czech Republic,196.3833802,182.4206731,174.3607085
DEU,276,Germany,197.2450264,178.1189263,166.4811184
DJI,262,Djibouti,#N/A,#N/A,#N/A
DMA,212,Dominica,88.68833333,41.38166667,21.88
DNK,208,Denmark,137.4357112,132.8480333,108.1105644
DOM,214,Dominican Republic,149.9861345,150.9639339,196.5582896
DZA,12,Algeria,21.02860539,20.8411217,20.74612223
ECU,218,Ecuador,317.9335348,345.4178316,386.8243285
EGY,818,Egypt,565.9966928,569.1232417,569.1232417
ERI,232,Eritrea,2.787304348,2.571536232,6.799724638
ESH,732,Western Sahara,NA,NA,NA
ESP,724,Spain,143.9661252,155.495204,157.6985254
EST,233,Estonia,79.29310345,87.29239766,87.74563953
ETH,231,Ethiopia,33.78829547,35.0002868,36.20321431
FIN,246,Finland,86.16286287,89.53851918,91.61942959
FJI,242,Fiji,46.03315152,52.22218182,38.20793939
FLK,238,Falkland Islands,NA,NA,NA
FRA,250,France,163.1391209,170.4537719,172.6799033
FRO,234,Faeroe Islands,#N/A,#N/A,#N/A
FSM,583,Micronesia,#N/A,#N/A,#N/A
GAB,266,Gabon,31.82861538,60.62107692,45.02498462
GBR,826,United Kingdom,247.7592762,248.566493,245.6197779
GEO,268,Georgia,170.8321221,143.8578704,154.0359164
GGY,831,Guernsey,NA,NA,NA
GHA,288,Ghana,21.42553191,37.14893617,29.44680851
GIN,324,Guinea,2.759580645,15.61060323,3.151151613
GMB,270,Gambia,0.681113636,0.391386364,8.037159091
GNB,624,Guinea-Bissau,#N/A,#N/A,#N/A
GNQ,226,Equatorial Guinea,#N/A,#N/A,#N/A
GRC,300,Greece,125.6551402,130.3793265,133.2617804
GRD,308,Grenada,#N/A,#N/A,#N/A
GRL,304,Greenland,#N/A,#N/A,#N/A
GTM,320,Guatemala,303.1531787,359.8286311,358.2671462
GUY,328,Guyana,44.60404762,5.810071429,62.10992857
HKG,344,Hong Kong,2715.943333,2807.796774,3573.91
HND,340,Honduras,164.1301078,184.2181471,184.1489216
HRV,191,Croatia,119.0366133,213.5483476,220.9950249
HTI,332,Haiti,#N/A,#N/A,#N/A
HUN,348,Hungary,122.1084895,138.2061069,150.6769195
IDN,360,Indonesia,216.0412167,221.4816635,236.4423133
IMN,833,Isle of Man,#N/A,#N/A,#N/A
IND,356,India,165.89799,170.0011508,175.0153437
IRL,372,Ireland,1207.332907,1349.007592,1544.889357
IRN,364,Iran,47.53553823,47.53553823,47.53553823
IRQ,368,Iraq,28.781174,50.322722,50.322722
ISL,352,Iceland,181.5289256,148.0082645,136.2809917
ISR,376,Israel,280.6779661,238.501292,240.6779661
ITA,380,Italy,131.5006719,130.3332556,130.5905102
JAM,388,Jamaica,57.24633333,66.28583333,65.84275
JEY,832,Jersey,NA,NA,NA
JOR,400,Jordan,112.3366771,133.8609626,114.0447761
JPN,392,Japan,246.1759082,252.5835136,253.7421535
KAZ,398,Kazakhstan,7.303776373,8.288065927,8.262629251
KEN,404,Kenya,29.02923966,22.63296897,15.6886569
KGZ,417,Kyrgyzstan,12.69338407,7.69034788,21.24611801
KHM,116,Cambodia,21.62355408,30.52586039,34.27582971
KIR,296,Kiribati,#N/A,#N/A,#N/A
KNA,659,Saint Kitts and Nevis,7.51,5.234,5.176
KOR,410,South Korea,353.562639,355.9974153,369.7358443
KWT,414,Kuwait,1000.72375,1077.848837,1059.48
LAO,418,Laos,#N/A,#N/A,#N/A
LBN,422,Lebanon,292.92,337.5129545,286.3648485
LBR,430,Liberia,#N/A,#N/A,#N/A
LBY,434,Libya,15.58269186,19.59815698,9.841936047
LCA,662,Saint Lucia,170.8933333,131.2733333,133.2233333
LIE,438,Liechtenstein,#N/A,#N/A,#N/A
LKA,144,Sri Lanka,126.2628397,117.3936222,138.2963255
LSO,426,Lesotho,#N/A,#N/A,#N/A
LTU,440,Lithuania,131.8527161,141.1089984,133.5167849
LUX,442,Luxembourg,262.1079858,252.2188014,234.6813923
LVA,428,Latvia,104.1925466,103.4844961,101.1528958
MAC,446,Macao,#N/A,#N/A,#N/A
MAR,504,Morocco,42.5708926,67.6472665,74.93452311
MCO,492,Monaco,#N/A,#N/A,#N/A
MDA,498,Moldova,41.91924626,48.60579402,59.42118095
MDG,450,Madagascar,5.988266667,12.98775667,12.58778
MDV,462,Maldives,94.18461538,113.2461538,114.974359
MEX,484,Mexico,98.62979519,100.4050592,102.9282535
MHL,584,Marshall Islands,#N/A,#N/A,#N/A
MKD,807,North Macedonia,79.31487981,68.98724221,60.84748804
MLI,466,Mali,33.9484199,24.75230385,24.75230385
MLT,470,Malta,264.5049614,97.61300992,167.8467475
MMR,104,Myanmar,18.74324351,38.73503562,49.34833443
MNE,499,Montenegro,285.2077778,233.6434783,246.7967391
MNG,496,Mongolia,19.51309177,27.7738809,31.76546633
MOZ,508,Mozambique,4.567656637,5.138660177,6.71119469
MRT,478,Mauritania,#N/A,#N/A,#N/A
MUS,480,Mauritius,273.258,257.6134667,187.1136
MWI,454,Malawi,24.50846667,35.57066944,35.91796111
MYS,458,Malaysia,2143.024952,2169.443354,2106.450375
NAM,516,Namibia,26.1067125,25.0368625,27.2643125
NCL,540,New Caledonia,248.9112228,248.9112228,248.9112228
NER,562,Niger,0.386006857,0.381645198,0.381653672
NGA,566,Nigeria,11.40717353,21.06002265,19.73733088
NIC,558,Nicaragua,59.17760638,85.41695479,58.23965426
NIU,570,Niue,NA,NA,NA
NLD,528,Netherlands,291.6857977,290.5583414,265.9480901
NOR,578,Norway,203.8982912,198.8334228,203.8196736
NPL,524,Nepal,74.68116573,65.51327057,86.88413682
NRU,520,Nauru,#N/A,#N/A,#N/A
NZL,554,New Zealand,1552.861479,1863.302994,1895.294175
OMN,512,Oman,512.7424701,332.6950938,316.7516306
PAK,586,Pakistan,144.5629558,152.4789491,155.9926574
PAN,591,Panama,45.69982301,58.68419469,57.10469027
PER,604,Peru,127.6998717,154.6670786,125.4148089
PHL,608,Philippines,169.625186,212.5987138,169.0010733
PLW,585,Palau,#N/A,#N/A,#N/A
PNG,598,Papua New Guinea,112.0536333,123.2720333,145.3302333
POL,616,Poland,189.6909125,179.264509,177.6035971
PRK,408,North Korea,#N/A,#N/A,#N/A
PRT,620,Portugal,194.9749448,207.5329441,198.5085837
PRY,600,Paraguay,113.5673092,116.7969396,120.0566329
PSE,275,State of Palestine,#N/A,#N/A,#N/A
PYF,258,French Polynesia,296.644,296.644,296.64
QAT,634,Qatar,216.7832168,242.8571429,242.8571429
ROU,642,Romania,59.90748077,60.18096687,59.19019111
RUS,643,Russia,18.68718197,20.32828877,20.81411273
RWA,646,Rwanda,10.85749761,10.85749761,10.85705479
SAU,682,Saudi Arabia,89.21484038,81.23363398,81.23363398
SDN,729,Sudan,9.648317927,8.703270316,8.612303992
SEN,686,Senegal,22.34375,22.25,22.25
SGP,702,Singapore,920.2321429,1049.017857,0
SLB,90,Solomon Islands,#N/A,#N/A,#N/A
SLE,694,Sierra Leone,#N/A,#N/A,#N/A
SLV,222,El Salvador,94.15017316,131.096044,123.7613397
SMR,674,San Marino,#N/A,#N/A,#N/A
SOM,706,Somalia,#N/A,#N/A,#N/A
SRB,688,Serbia,139.6758314,120.9028709,72.91032133
SSD,728,South Sudan,#N/A,#N/A,#N/A
STP,678,Sao Tome and Principe,#N/A,#N/A,#N/A
