"code","iso","country","SW01","SW02","SW03","SW04","SW05","SW06","SW07","SW08","SW09","SW10","SW11","SW12","SWG","MSW.raw.2017"
4,"AFG","Afghanistan",0,0,0,0,0,0,0,0,0,3095688.953,0,2532836.417,5628525.37,0
8,"ALB","Albania",0,0,0,0,0,0,0,0,0,880082.28,0,262881.72,1142964,0
12,"DZA","Algeria",0,113884.408,10135712.31,0,911075.264,227768.816,0,0,0,0,0,990299.2,12378740,0.916319999838433
20,"AND","Andorra",0,0,0,22403,0,0,0,0,0,20597,0,0,43000,0.521
24,"AGO","Angola",0,0,0,0,0,0,0,0,0,2907414.074,0,1306229.511,4213643.585,0
660,"AIA","Anguilla",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
28,"ATG","Antigua and Barbuda",0,23.2446,0,0,0,28672.2141,0,0,0,331.23555,29.05575,1529.25,30585,0.750728
32,"ARG","Argentina",0,0,6604515.313,0,634033.47,940482.9805,0,2388192.737,0,0,0,7343325.5,17910550,0.446158000027917
51,"ARM","Armenia",0,0,0,0,0,0,0,394240,0,0,0,98560,492800,0
533,"ABW","Aruba",0,0,0,0,8046.453125,0,0,0,0,65103.12074,0,14982.44284,88132.0167,0.0913000000032905
36,"AUS","Australia",0,0,0,1108235.525,4775508.25,0,5543446.275,0,0,0,0,2001750,13345000,0.773211
40,"AUT","Austria",0,1510766.4,0,1832844,1240917.6,0,144112.8,0,0,107359.2,0,0,4836000,0.97184
31,"AZE","Azerbaijan",0,0,0,0,0,0,0,2637314.1,0,0,0,293034.9,2930349,0
44,"BHS","Bahamas",0,0,0,0,0,0,0,0,0,184800,0,79200,264000,0
48,"BHR","Bahrain",0,0,0,0,56355.02379,0,648082.7736,0,0,0,0,247505.1721,951942.9695,0.60383999996546
50,"BGD","Bangladesh",0,737077.5543,0,0,0,0,0,0,0,13302494.91,0,738924.8665,14778497.33,0.0498749999977163
52,"BRB","Barbados",0,0,0,0,13058.7137,130587.137,0,0,0,1450.968189,0,29718.62556,174815.4444,0.672300000170923
112,"BLR","Belarus",0,0,0,0,684800,3291320,0,303880,0,0,0,0,4280000,0.7752
56,"BEL","Belgium",0,900969.96,0,2042801.2,1614985.24,0,42842.8,0,0,106400.8,0,0,4708000,0.97558
84,"BLZ","Belize",0,0,17234.40115,0,0,0,0,33455.014,0,0,0,50689.41515,101378.8303,0.169999999990136
204,"BEN","Benin",0,0,0,0,39441.32058,0,0,0,0,118323.9617,0,528170.7277,685936.01,0.0575000000072893
60,"BMU","Bermuda",0,12454.98,0,46008.56,1361.2,8303.32,0,0,0,0,0,13940,82000,0.810578
64,"BTN","Bhutan",0,1144.976318,0,0,708.4026142,80724.94906,0,0,0,0,0,28941.653,111314.05,0.596809999997305
68,"BOL","Bolivia",0,6213.3456,495980.3125,0,188109.038,621.33456,0,862412.3693,0,0,0,665715.6,2219052,0.311303999972961
70,"BIH","Bosnia and Herzegovina",0,0,271071.7034,0,10.90130814,96088.8501,0,469205.7885,280.96155,287187.9951,0,124871.8,1248718,0.278648729967967
72,"BWA","Botswana",0,0,0,0,1454.895654,0,0,0,0,144034.6698,0,65364.87721,210854.4426,0.00690000000028456
76,"BRA","Brazil",0,145094.42,38671631.25,0,1015660.94,15877109.25,0,11331380.88,0,5506333.238,0,7341800.019,79889010,0.657588246618653
92,"VGB","British Virgin Islands",0,0,0,14062.39914,0,0,0,0,0,3449.928557,0,3586.8623,21099.19,0.666489999853075
96,"BRN","Brunei Darussalam",0,2551.787241,89312.55343,0,0,0,0,0,0,35725.02137,0,88663.79396,216253.156,0.424800000010173
100,"BGR","Bulgaria",0,305452.7016,0,81394.8575,563252.4139,0,1959988.169,0,0,49724.8584,0,51187,3011000,0.836297080106277
854,"BFA","Burkina Faso",0,0,0,0,123612.0533,0,175117.0755,607759.262,0,123612.0533,0,1545150.666,2575251.11,0.102400000013979
108,"BDI","Burundi",0,0,0,0,0,0,0,0,0,767526.56,0,1104489.44,1872016,0
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,0,0,91462.95,0,41092.05,132555,0
116,"KHM","Cambodia",0,0,0,0,0,0,0,0,142931.25,673818.75,0,272250,1089000,0
120,"CMR","Cameroon",0,0,328239.081,0,6802.882507,0,0,1365678.663,0,0,0,1569895.963,3270616.59,0.102440000008378
124,"CAN","Canada",0,1013961.749,0,745560.1098,5117027.554,0,17975454.25,0,0,0,0,251030.34,25103034,0.846786600089854
136,"CYM","Cayman Islands",0,0,0,0,10458,0,0,0,0,39342,0,10200,60000,0.1743
140,"CAF","Central African Republic",0,0,0,0,0,0,0,0,0,763128.27,0,342854.73,1105983,0
148,"TCD","Chad",0,0,0,0,0,0,0,0,0,937606.8657,0,421243.6643,1358850.53,0
152,"CHL","Chile",0,27241.06,0,8667.61,22907.255,5277955.375,0,521913.945,2476.46,329988.295,0,325850,6517000,0.656925
156,"CHN","China",0,4032000,0,40104960,0,0,80855040,11034240,0,0,0,75600000,2.1e+08,0.5181952
170,"COL","Colombia",0,0,10597334.66,0,2048024.227,0,0,476284.704,0,0,0,243002.4,12150120,1.04075999965432
174,"COM","Comoros",0,0,0,0,0,0,0,0,0,18202.6,0,72810.4,91013,0
184,"COK","Cook Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
188,"CRI","Costa Rica",0,0,729270,0,13613.04,253894,0,98316.4,0,0,0,379600,1460000,0.647944
384,"CIV","Cote d'Ivoire",0,0,0,0,93257.09967,0,0,0,0,3015312.889,0,1332244.281,4440814.27,0.021
191,"HRV","Croatia",0,27326.46176,0,0,263886.3053,0,1289517.944,0,0,36219.68896,0,37049.6,1654000,0.799774560012092
192,"CUB","Cuba",0,0,0,0,194207.7164,627849.6036,0,864214.1056,0,360174.4792,0,646246.0752,2692691.98,0.258658400014992
531,"CUW","Curacao",0,0,0,0,0,0,0,0,0,0,0,24703.8132,24703.8132,0
196,"CYP","Cyprus",0,24994.2,0,0,72007.1,0,402990.9,0,0,41007.8,0,0,541000,0.77522
203,"CZE","Czech Republic",0,140821.4,0,589981.6,850935,0,1754928.3,0,0,333.7,0,0,3337000,0.89472
180,"COD","Dem. Rep. Congo",0,0,0,0,507510.774,0,0,0,0,9849851.96,0,4027863.286,14385226.02,0.035280000001001
208,"DNK","Denmark",0,851701.5,0,2358661.5,1223059.5,0,50680.5,0,0,897,0,0,4485000,0.99754
262,"DJI","Djibouti",0,0,0,0,0,0,0,0,0,79348.10181,0,35649.14719,114997.249,0
212,"DMA","Dominica",0,0,0,0,0,10279.9152,0,0,0,656.1648,0,2239.92,13176,0.62416
214,"DOM","Dominican Republic",0,0,2804.0979,0,229936.0278,0,0,2035097.364,0,536260.41,0,1259812.1,4063910,0.05727
218,"ECU","Ecuador",0,0,2283532.374,0,553505.5923,0,0,955977.1005,0,497725.959,0,1006470.117,5297211.143,0.535572000004003
818,"EGY","Egypt",0,955500,0,0,1706250,0,955500,11466000,0,0,0,7350000,2.1e+07,0.16315
222,"SLV","El Salvador",0,0,915555.6591,0,0,0,0,161568.6457,92492.19574,1170.787288,0,478208.8922,1648996.18,0.5552200000245
226,"GNQ","Equatorial Guinea",0,0,0,0,0,0,0,0,0,136925.7114,0,61517.3486,198443.06,0
232,"ERI","Eritrea",0,0,0,0,0,0,0,0,0,501600.5853,0,225356.7847,726957.37,0
233,"EST","Estonia",0,14795.6292,0,211125.4089,101678.8518,30413.2378,0,0,0,52976.57233,0,62010.3,473000,0.744039070063425
748,"SWZ","Eswatini",0,0,0,0,0,0,0,0,0,0,0,218199.47,218199.47,0
231,"ETH","Ethiopia",0,0,0,0,0,0,0,1938277.894,0,2569345.115,0,2025163.961,6532786.97,0
234,"FRO","Faeroe Islands",0,0,0,0,19208.9,0,0,0,0,9461.1,0,32330,61000,0.3149
238,"FLK","Falkland Islands",-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,-8888,0,-8888,-8888,-8888,-8888
242,"FJI","Fiji",0,0,0,0,8773.472942,0,83710.20055,0,0,68497.48141,0,28408.4391,189389.594,0.399925000008184
246,"FIN","Finland",0,340881,0,1312049.6,769925.6,0,314870,0,0,273.8,0,0,2738000,0.9769
250,"FRA","France",0,5764667.4,0,11589453,7434617.4,0,8603582.4,0,0,6679.8,0,0,33399000,0.94828
258,"PYF","French Polynesia",0,0,0,0,48730.5,0,0,0,0,76219.5,0,22050,147000,0.3315
266,"GAB","Gabon",0,0,0,0,0,0,0,0,0,164290.5939,0,73811.7161,238102.31,0
270,"GMB","Gambia",0,0,0,0,0,0,0,0,0,67704.189,0,125736.351,193440.54,0
268,"GEO","Georgia",0,0,0,0,0,0,0,0,0,480000,0,320000,8e+05,0
276,"DEU","Germany",0,9305685.8,0,16186686.6,24415301.8,0,107196.6,0,0,1031129.2,0,0,51046000,0.97938
