iso,code,country,B.3.1.5,B.3.2.2,B.3.2.3,B.3.2.4,B.3.4.2,B.3.4.3,B.3.4.4,B.3.4.5,B.3.5.1,B.3.5.2,B.3.5.3
ABW,533,Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
AFG,4,Afghanistan,100,95,60.9,100,7.3,0,0,0,5,90.7,57.7
AGO,24,Angola,60.3,31.2,49.3,63.5,17.8,5.2,0,0,29.8,88.3,67.2
AIA,660,Anguilla,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ALB,8,Albania,58.3,41.1,70.2,54.4,34.6,100,100,2.7,38.6,82.1,39.6
AND,20,Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARE,784,United Arab Emirates,0,NA,100,100,100,100,66.7,76.8,8.9,81.3,76.8
ARG,32,Argentina,29.8,27.6,47.3,44.5,60.9,67.3,51.3,5.9,16.2,69.4,58.9
ARM,51,Armenia,60.3,82.4,45.8,100,57,50.6,43,8.8,19,92.4,48
ATG,28,Antigua and Barbuda,35.2,35.4,39.8,100,69.8,28.2,45,1.3,53.8,NA,34
AUS,36,Australia,0,24.5,44,72.9,98.8,92.4,88.2,92.7,40.4,87.3,73.4
AUS,36,Australia,0,24.5,44,72.9,98.8,92.4,88.2,92.7,40.4,87.3,73.4
AUT,40,Austria,23,32.5,69.9,57.3,96.4,100,100,94,63.7,84.7,54.7
AZE,31,Azerbaijan,40.3,80.2,65.2,100,40.7,100,100,3.8,11.7,96,44.4
BDI,108,Burundi,100,32.7,66.5,39.2,7.4,45.2,46.2,0,25.3,90.7,48.5
BEL,56,Belgium,19.6,29,73.7,53.9,100,100,100,67.9,56.2,74.4,43.8
BEN,204,Benin,85.7,20.4,20.8,100,9,43.5,23.3,0,46,86.4,50.2
BFA,854,Burkina Faso,79.7,100,65.7,43.9,6.2,47.7,33.5,0,35.1,85.6,53
BGD,50,Bangladesh,89.7,20.3,47.3,44.5,16,4.8,25.7,0,4.7,92.7,44.7
BGR,100,Bulgaria,29.8,41,51.8,38.9,38.2,100,100,13.9,37,83.6,44.8
BHR,48,Bahrain,0,NA,NA,100,77.4,95.1,91.1,86.9,2,NA,69.7
BHS,44,Bahamas,29.9,25.4,98,76.1,67.5,18.7,17.4,1.4,51.7,99.4,62.3
BIH,70,Bosnia and Herzegovina,28.6,54.3,47.3,43,33.5,64.8,91.3,1.1,41.8,88.3,49
BLM,652,Saint Barthelemy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BLR,112,Belarus,19,24.1,68.8,54.9,70.6,100,60.8,7.2,27.5,91.3,55.1
BLZ,84,Belize,63.2,21.4,39.4,44.2,37.1,22.7,0,0.6,98.6,35.9,57.2
BMU,60,Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
