iso,exp
BGR,75.046
MMR,67.134
BDI,61.584
BLR,74.791
KHM,69.823
DZA,76.88
CMR,59.292
CAN,82.434
CPV,72.981
CAF,53.283
LKA,76.978
TCD,54.239
CHL,80.181
CHN,76.912
COL,77.287
COD,60.681
CRI,80.279
HRV,78.488
CUB,78.802
CYP,80.982
CZE,79.376
BEN,61.771
DNK,80.898
DOM,74.081
ECU,77.01
ETH,66.597
EST,78.745
FJI,67.444
FIN,81.908
FRA,82.659
GAB,66.467
GEO,73.767
DEU,81.326
GHA,64.074
GRC,82.239
AZE,73.005
ARG,76.667
GIN,61.602
HND,75.27
HUN,76.875
ISL,82.993
IND,69.656
AUS,83.436
IDN,71.716
IRN,76.677
IRQ,70.604
IRL,82.305
ISR,82.972
ITA,83.512
CIV,57.783
JPN,84.629
KAZ,73.597
AFG,64.833
AUT,81.544
JOR,74.526
KEN,66.699
KOR,83.033
KGZ,71.45
LAO,67.923
LBN,78.93
LSO,54.331
LVA,75.292
LBR,64.104
LBY,72.913
LTU,75.933
LUX,82.25
MDG,67.041
MWI,64.263
MYS,76.156
MLI,59.306
MLT,82.53
MRT,64.925
BHR,77.292
MUS,74.991
MEX,75.054
MNG,69.87
MDA,71.901
MNE,76.884
BGD,72.591
MAR,76.68
MOZ,60.854
ARM,75.087
OMN,77.861
NAM,63.708
BRB,79.19
NPL,70.778
NLD,82.283
NZL,82.288
NIC,74.485
BEL,81.628
NER,62.42
NGA,54.687
NOR,82.404
PAK,67.273
PNG,64.501
PRY,74.254
PER,76.736
PHL,71.231
POL,78.73
PRT,82.049
TLS,69.495
QAT,80.227
BTN,71.777
ROU,76.054
RUS,72.584
RWA,69.024
BOL,71.513
SAU,75.133
SEN,67.941
SRB,76.001
SYC,73.402
SLE,54.696
SGP,83.62
SVK,77.542
VNM,75.4
SVN,81.324
ZAF,64.131
ZWE,61.49
BWA,69.592
ESP,83.565
SDN,65.311
SWE,82.797
CHE,83.779
BRA,75.881
TJK,71.097
THA,77.15
TGO,61.042
TTO,73.507
ARE,77.972
TUN,76.699
TUR,77.691
TKM,68.191
ALB,78.573
UGA,63.368
UKR,72.065
MKD,75.797
EGY,71.99
GBR,81.321
TZA,65.456
BLZ,74.623
USA,78.862
BFA,61.577
URY,77.911
UZB,71.725
ZMB,63.886
BRN,75.86
