iso,forest2019,forest2020
ABW,2.333333333,2.333333333
AFE,30.46979826,30.2517858
AFG,1.850994088,1.850994088
AFW,19.90121471,19.81676207
AGO,53.87217454,53.42695115
ALB,28.7919708,28.7919708
AND,34.04255319,34.04255319
ARB,2.830678707,2.812928807
ARE,4.467755562,4.467755562
ARG,10.48017861,10.44071488
ARM,11.54478398,11.5374078
ASM,85.8,85.65
ATG,18.59090909,18.45454545
AUS,17.42131456,17.42131456
AUT,47.20746486,47.25096946
AZE,13.55336705,13.69286423
BDI,10.8894081,10.8894081
BEL,22.76420079,22.76420079
BEN,28.24716211,27.80374246
BFA,22.90350877,22.72076023
BGD,14.46877161,14.46877161
BGR,35.74060427,35.86035372
BHR,0.871794872,0.897435897
BHS,50.93506494,50.93506494
BIH,42.73261719,42.73261719
BLR,43.12296778,43.19440339
BLZ,56.47566857,55.98640947
BMU,18.51851852,18.51851852
BOL,47.10953568,46.92491461
BRA,59.55852618,59.41747805
BRB,14.65116279,14.65116279
BRN,72.10626186,72.10626186
BTN,71.39748296,71.44939696
BWA,27.12579182,26.91705045
CAF,35.84866288,35.80050724
CAN,38.69963717,38.69551251
CEB,34.49213499,34.51987695
CHE,32.02928027,32.11633355
CHI,,
CHL,24.32686152,24.49215367
CHN,23.14116554,23.3405957
CIV,9.275471698,8.920471698
CMR,43.14797656,43.02951069
COD,56.13312896,55.64731259
COG,64.30746706,64.26354319
COL,53.48463272,53.30501127
COM,17.92584632,17.68941429
CPV,11.27047146,11.34491315
CRI,59.11672542,59.43732863
CSS,89.8928245,89.82072372
CUB,31.23314066,31.23314066
CUW,0.157657658,0.157657658
CYM,53,53
CYP,18.67424242,18.67207792
CZE,34.65388601,34.67733161
DEU,32.68361097,32.68361097
DJI,0.245901639,0.250215703
DMA,63.82666667,63.82666667
DNK,15.6875,15.711
DOM,44.21465535,44.3821155
DZA,0.81411035,0.81830896
EAP,30.38327721,30.43115563
EAR,22.8435833,22.77863405
EAS,27.11115712,27.14319557
ECA,39.41142874,39.42360781
ECS,38.49804569,38.51495422
ECU,50.58020615,50.32142857
EGY,0.045185594,0.045185594
EMU,38.5825437,38.63952141
ERI,10.47940594,10.44811881
ESP,37.16523359,37.1738204
EST,56.09385783,56.09385783
ETH,15.17886663,15.11422483
EUU,39.76619064,39.81160243
FCS,23.32636887,23.20118724
FIN,73.73321927,73.73321927
FJI,62.03284072,62.39846743
FRA,31.35673546,31.50904837
FRO,0.05730659,0.05730659
FSM,91.98571429,92.02857143
GAB,91.36678698,91.32068149
GBR,13.15256479,13.18563221
GEO,40.61591596,40.61591596
GHA,35.06407665,35.09585128
GIB,,
GIN,25.34999186,25.18720495
GMB,24.54545455,23.97924901
GNB,70.71301565,70.4128734
GNQ,87.58573975,87.28770053
GRC,30.26997673,30.26997673
GRD,52.05882353,52.05882353
GRL,0.000535997,0.000535997
GTM,33.02911534,32.92086599
GUM,51.85185185,51.85185185
GUY,93.59685039,93.5501143
HIC,29.2516308,29.26058249
HKG,,
HND,57.02216463,56.83492716
HPC,27.33155057,27.1602206
HRV,34.22177063,34.26594805
HTI,12.71444122,12.60159652
HUN,22.51227263,22.49627438
IBD,33.94212653,33.9250508
IBT,31.8155659,31.76307132
IDA,25.76755358,25.61432654
IDB,29.82899174,29.75513653
