Country Name,iso,GDP2019,GDP2020
Aruba,ABW,,
Africa Eastern and Southern,AFE,1530.059177,1359.618224
Afghanistan,AFG,494.1793499,516.7478708
Africa Western and Central,AFW,1777.918672,1710.073363
Angola,AGO,2809.626088,1776.166868
Albania,ALB,5395.659532,5246.096346
Andorra,AND,40897.33087,
Arab World,ARB,6489.043216,5612.68657
United Arab Emirates,ARE,42701.44305,36284.55524
Argentina,ARG,10056.63794,8579.017773
Armenia,ARM,4604.646324,4266.018074
American Samoa,ASM,11715.36014,12844.90099
Antigua and Barbuda,ATG,17376.64968,13992.74448
Australia,AUS,54875.28596,51680.31652
Austria,AUT,50114.40111,48588.65938
Azerbaijan,AZE,4805.753718,4221.407478
Burundi,BDI,228.2135892,238.9907259
Belgium,BEL,46591.49161,45205.33594
Benin,BEN,1219.515506,1291.040972
Burkina Faso,BFA,796.1152068,857.9327297
Bangladesh,BGD,1855.740094,1961.613749
Bulgaria,BGR,9879.268533,10079.20338
Bahrain,BHR,23551.93009,20409.9528
"Bahamas, The",BHS,33799.41769,25194.02514
Bosnia and Herzegovina,BIH,6119.762345,6079.738285
Belarus,BLR,6837.717826,6424.152176
Belize,BLZ,5078.809944,4115.177008
Bermuda,BMU,117098.4463,107079.4798
Bolivia,BOL,3552.068143,3133.099803
Brazil,BRA,8897.552966,6796.844542
Barbados,BRB,18148.49785,15373.8547
Brunei Darussalam,BRN,31085.96193,27442.95383
Bhutan,BTN,3322.863329,3000.779327
Botswana,BWA,7203.064221,6404.899932
Central African Republic,CAF,467.9080323,492.7958712
Canada,CAN,46328.67184,43258.26387
Central Europe and the Baltics,CEB,16346.56181,16180.96792
Switzerland,CHE,85334.51946,87100.41482
Channel Islands,CHI,,
Chile,CHL,14741.7144,13231.70421
China,CHN,10143.83817,10434.77519
Cote d'Ivoire,CIV,2276.332394,2325.723705
Cameroon,CMR,1533.095688,1537.130218
"Congo, Dem. Rep.",COD,580.7168706,543.9503925
"Congo, Rep.",COG,2369.729494,1846.131297
Colombia,COL,6424.979492,5334.556042
Comoros,COM,1401.542312,1420.661747
Cabo Verde,CPV,3603.775241,3064.272388
Costa Rica,CRI,12693.82796,12140.85415
Caribbean small states,CSS,10291.80732,8873.521929
Cuba,CUB,9125.878679,9477.852873
Curacao,CUW,19701.27038,16752.96526
Cayman Islands,CYM,91392.64259,85082.52686
Cyprus,CYP,29206.07672,27527.84531
Czech Republic,CZE,23660.14881,22933.49959
Germany,DEU,46794.89929,46252.6893
Djibouti,DJI,3414.916178,3425.484176
Dominica,DMA,8516.280039,7003.859021
Denmark,DNK,59775.7351,61063.31643
Dominican Republic,DOM,8282.117131,7268.19691
Algeria,DZA,3989.668276,3306.858208
East Asia & Pacific (excluding high income),EAP,8145.345437,8254.670871
Early-demographic dividend,EAR,3503.439733,3201.654261
East Asia & Pacific,EAS,11477.76105,11477.49173
Europe & Central Asia (excluding high income),ECA,8343.550431,7668.99564
Europe & Central Asia,ECS,24906.40229,23963.33634
Ecuador,ECU,6222.524653,5600.389615
"Egypt, Arab Rep.",EGY,3019.092283,3569.206841
Euro area,EMU,39188.49079,37994.54796
Eritrea,ERI,,
Spain,ESP,29554.49052,27056.42175
