iso,HDI,B/HDI
NER,0.394,127.893401
CAF,0.397,106.1712846
BDI,0.433,106.073903
TCD,0.398,104.5979899
MOZ,0.456,102.4561404
SLE,0.452,101.6814159
MLI,0.434,100.5760369
MWI,0.483,99.83436853
BFA,0.452,99.75663717
SEN,0.512,99.21875
AFG,0.511,95.22504892
ETH,0.485,91.77319588
SDN,0.51,91.76470588
TZA,0.529,90.35916824
GIN,0.477,90.08385744
RWA,0.543,90.07366483
PAK,0.557,89.47935368
LBR,0.48,89.22916667
TGO,0.515,89.2038835
UGA,0.544,88.49264706
LSO,0.527,88.23529412
MRT,0.546,88.11355311
BEN,0.545,85.77981651
MDG,0.528,85.13257576
MMR,0.583,83.13893654
PNG,0.555,82.79279279
BTN,0.654,82.29357798
NPL,0.602,81.99335548
KHM,0.594,81.83501684
KEN,0.601,81.69717138
TJK,0.668,81.21257485
CMR,0.563,80.62166963
HND,0.634,80.28391167
ZWE,0.571,79.96497373
NGA,0.539,79.96289425
NIC,0.66,79.75757576
BGD,0.632,79.08227848
CIV,0.538,78.10408922
TLS,0.606,78.06930693
TKM,0.715,77.66433566
ZMB,0.584,77.65410959
JOR,0.729,77.50342936
MAR,0.686,77.05539359
COD,0.574,76.91637631
UZB,0.72,76.90277778
KGZ,0.697,76.82926829
GHA,0.611,75.92471358
LBN,0.744,75.81989247
EGY,0.707,75.74257426
IRQ,0.674,74.58456973
CPV,0.665,74.27067669
BLZ,0.716,74.05027933
IND,0.645,74
TUN,0.74,73.74324324
LBY,0.724,73.12154696
PHL,0.718,72.18662953
FJI,0.743,71.97846568
COL,0.767,71.96870926
OMN,0.813,71.72201722
PER,0.777,71.58301158
MDA,0.75,71.57333333
LAO,0.613,71.56606852
BOL,0.718,71.0724234
PRY,0.728,70.87912088
IDN,0.718,70.79387187
IRN,0.783,70.70242656
ECU,0.759,70.13175231
AZE,0.756,69.88095238
MNG,0.737,69.52510176
CHN,0.761,69.39553219
CUB,0.783,69.37420179
LKA,0.782,69.36061381
SVK,0.86,69.11627907
ZAF,0.709,68.9280677
BLR,0.823,68.57837181
MEX,0.779,68.36970475
THA,0.777,68.3011583
DZA,0.748,68.26203209
VNM,0.704,67.85511364
CRI,0.81,67.74074074
BHR,0.852,67.62910798
HRV,0.851,67.55581669
BWA,0.735,67.42857143
UKR,0.779,67.39409499
TUR,0.82,67.31707317
JPN,0.919,67.18171926
SGP,0.938,66.86567164
BRA,0.765,66.8496732
HUN,0.854,66.79156909
ARE,0.89,66.60674157
ARM,0.776,66.55927835
SVN,0.917,66.55398037
NOR,0.957,66.41588297
NAM,0.646,66.39318885
CAN,0.929,66.21097955
SRB,0.806,66.20347395
FRA,0.901,66.14872364
CZE,0.9,66.08888889
GAB,0.703,65.9886202
SAU,0.854,65.96018735
EST,0.892,65.84080717
CHL,0.851,65.7226792
GBR,0.932,65.69742489
ITA,0.892,65.69506726
BRB,0.814,65.42997543
ISL,0.949,65.42676502
AUS,0.944,65.40254237
AUT,0.922,65.37960954
RUS,0.824,65.31553398
ALB,0.795,65.18238994
CHE,0.955,65.17277487
MLT,0.895,65.11731844
PRT,0.864,64.97685185
DNK,0.94,64.87234043
DOM,0.756,64.68253968
QAT,0.848,64.68160377
BGR,0.816,64.62009804
SWE,0.945,64.56084656
KAZ,0.825,64.54545455
LVA,0.866,64.51501155
MNE,0.829,64.13751508
LTU,0.882,63.99092971
GEO,0.812,63.84236453
DEU,0.947,63.6219641
BRN,0.838,63.41288783
NLD,0.944,63.34745763
GRC,0.888,63.2545045
FIN,0.938,63.13432836
ROU,0.828,63.12801932
KOR,0.916,63.08951965
MYS,0.81,63.0617284
ESP,0.904,62.8539823
USA,0.926,62.84017279
CYP,0.887,62.6832018
LUX,0.916,62.66375546
IRL,0.955,62.63874346
NZL,0.931,62.59935553
TTO,0.796,62.55025126
POL,0.88,62.42045455
BEL,0.931,62.21267454
MKD,0.774,61.9121447
URY,0.817,61.7747858
ISR,0.919,61.44722524
ARG,0.845,61.33727811
SYC,0.796,60.72864322
MUS,0.804,60.21144279
