,Country,iso,Income group,Region,2019,GNI2020
1,Aruba,ABW,High income,Latin America & Caribbean,null,null
2,Afghanistan,AFG,Low income,South Asia,530,500
3,Angola,AGO,Lower middle income,Sub-Saharan Africa,2970,2230
4,Albania,ALB,Upper middle income,Europe & Central Asia,5220,5210
5,Andorra,AND,High income,Europe & Central Asia,null,null
6,United Arab Emirates,ARE,High income,Middle East & North Africa,43470,null
7,Argentina,ARG,Upper middle income,Latin America & Caribbean,11130,8930
8,Armenia,ARM,Upper middle income,Europe & Central Asia,4680,4220
9,American Samoa,ASM,Upper middle income,East Asia & Pacific,null,null
10,Antigua and Barbuda,ATG,High income,Latin America & Caribbean,16160,14250
11,Australia,AUS,High income,East Asia & Pacific,55100,53730
12,Austria,AUT,High income,Europe & Central Asia,51440,null
13,Azerbaijan,AZE,Upper middle income,Europe & Central Asia,4490,4450
14,Burundi,BDI,Low income,Sub-Saharan Africa,280,270
15,Belgium,BEL,High income,Europe & Central Asia,48010,null
16,Benin,BEN,Lower middle income,Sub-Saharan Africa,1250,1280
17,Burkina Faso,BFA,Low income,Sub-Saharan Africa,780,790
18,Bangladesh,BGD,Lower middle income,South Asia,1940,2010
19,Bulgaria,BGR,Upper middle income,Europe & Central Asia,9570,9540
20,Bahrain,BHR,High income,Middle East & North Africa,22170,null
21,"Bahamas, The",BHS,High income,Latin America & Caribbean,33460,27780
22,Bosnia and Herzegovina,BIH,Upper middle income,Europe & Central Asia,6180,6090
23,Belarus,BLR,Upper middle income,Europe & Central Asia,6370,6330
24,Belize,BLZ,Lower middle income,Latin America & Caribbean,4700,3970
25,Bermuda,BMU,High income,North America,117740,null
26,Bolivia,BOL,Lower middle income,Latin America & Caribbean,3520,3200
27,Brazil,BRA,Upper middle income,Latin America & Caribbean,9270,7850
28,Barbados,BRB,High income,Latin America & Caribbean,17380,14460
29,Brunei Darussalam,BRN,High income,East Asia & Pacific,32230,null
30,Bhutan,BTN,Lower middle income,South Asia,3140,2860
31,Botswana,BWA,Upper middle income,Sub-Saharan Africa,7660,6640
32,Central African Republic,CAF,Low income,Sub-Saharan Africa,520,510
33,Canada,CAN,High income,North America,46460,43440
34,Switzerland,CHE,High income,Europe & Central Asia,87950,null
35,Channel Islands,CHI,High income,Europe & Central Asia,null,null
36,Chile,CHL,High income,Latin America & Caribbean,14990,13470
37,China,CHN,Upper middle income,East Asia & Pacific,10390,10610
38,Cote d'Ivoire,CIV,Lower middle income,Sub-Saharan Africa,2290,2280
39,Cameroon,CMR,Lower middle income,Sub-Saharan Africa,1500,1500
40,"Congo, Dem. Rep.",COD,Low income,Sub-Saharan Africa,530,550
41,"Congo, Rep.",COG,Lower middle income,Sub-Saharan Africa,1810,1830
42,Colombia,COL,Upper middle income,Latin America & Caribbean,6580,5780
43,Comoros,COM,Lower middle income,Sub-Saharan Africa,1400,1450
44,Cabo Verde,CPV,Lower middle income,Sub-Saharan Africa,3630,3060
45,Costa Rica,CRI,Upper middle income,Latin America & Caribbean,12070,11460
46,Cuba,CUB,Upper middle income,Latin America & Caribbean,null,null
47,Curacao,CUW,High income,Latin America & Caribbean,20370,null
48,Cayman Islands,CYM,High income,Latin America & Caribbean,68200,null
49,Cyprus,CYP,High income,Europe & Central Asia,27930,26110
50,Czech Republic,CZE,High income,Europe & Central Asia,21930,null
51,Germany,DEU,High income,Europe & Central Asia,48600,46990
52,Djibouti,DJI,Lower middle income,Middle East & North Africa,3310,3320
53,Dominica,DMA,Upper middle income,Latin America & Caribbean,7870,6870
54,Denmark,DNK,High income,Europe & Central Asia,64000,62720
55,Dominican Republic,DOM,Upper middle income,Latin America & Caribbean,8100,7260
56,Algeria,DZA,Lower middle income,Middle East & North Africa,4010,3550
57,Ecuador,ECU,Upper middle income,Latin America & Caribbean,6100,5530
58,"Egypt, Arab Rep.",EGY,Lower middle income,Middle East & North Africa,2690,3000
59,Eritrea,ERI,Low income,Sub-Saharan Africa,null,null
60,Spain,ESP,High income,Europe & Central Asia,30360,null
61,Estonia,EST,High income,Europe & Central Asia,23250,null
62,Ethiopia,ETH,Low income,Sub-Saharan Africa,850,890
63,Finland,FIN,High income,Europe & Central Asia,50010,49620
64,Fiji,FJI,Upper middle income,East Asia & Pacific,5800,4720
65,France,FRA,High income,Europe & Central Asia,42330,null
66,Faeroe Islands,NA,High income,Europe & Central Asia,null,null
67,"Micronesia, Fed. Sts.",FSM,Lower middle income,East Asia & Pacific,4010,null
68,Gabon,GAB,Upper middle income,Sub-Saharan Africa,7170,6970
